logFC	AveExpr	t	P.Value	adj.P.Val	B	ES_Het_82_d0_1	ES_Het_82_d0_2	ES_Het_374_d0_1	ES_Het_374_d0_2	ES_Het_82_d0_2.2	ES_WT_d0_1	ES_WT_d0_2
FOXO4	2.11353247101612	8.03759157180785	13.8488420061255	1.31368503010177e-06	0.00189338782095385	5.93573707477399	7.46688491328202	7.40673341041457	7.65341812747691	7.39932823272212	7.24226107369202	9.67877730430392	9.41573794076338
PLAU	-2.55327184431694	14.6123066466358	-13.8475665480658	1.31456144119675e-06	0.00189338782095385	5.93518212212389	15.2874395804966	15.2373417217216	15.3576978370834	15.4431722277877	15.3834130722564	12.4637251796541	13.1133569074504
CAPN2	-1.72572972779353	13.7673138530387	-13.8155641872086	1.33676888239981e-06	0.00189338782095385	5.92123390321536	14.2492147242667	14.289471102529	14.2966720966476	14.1483089022731	14.3182306220394	12.4296837772925	12.6396157462228
CHRNA9	-2.50565252203678	9.17140752924956	-13.5162619611849	1.566284012799e-06	0.00194277154012691	5.78851859193567	9.7890865017199	9.98992749491131	9.97388725707313	9.79320720608586	9.89043278936728	7.06185644488692	7.70145501070252
GREM1	-2.67267963637117	10.5039455335957	-13.4478382921721	1.62480465038299e-06	0.00194277154012691	5.75759373879438	11.4594323829547	11.3942850434611	11.0950925960261	11.0502560784235	11.3387753333577	8.31105727402882	8.87872002691807
KLK6	-1.60059659862372	8.48965552676341	-13.4379988926085	1.63342120141047e-06	0.00194277154012691	5.75312851763107	8.86615020144228	8.88668150105824	8.94977136847732	9.06329645463331	8.96894467766836	7.32533929324536	7.36740519081901
LYPD1	-1.72257548417799	10.8605923226528	-13.42144426869	1.6480350302226e-06	0.00194277154012691	5.74560549229171	11.2113004156518	11.2935782190232	11.4479183105439	11.4656228218688	11.3453639664304	9.58448476703829	9.67587775801298
APC2	-2.4713353577843	8.46386476463934	-13.3970754208801	1.6698162238252e-06	0.00194277154012691	5.73450768666265	9.33546392681716	9.27232755584289	9.18863939343448	8.7532015179038	9.30017051174735	6.63301982749665	6.76423061923303
NUPR1	-2.03132645069777	9.25722318021232	-13.2031153521608	1.85524396797753e-06	0.00208407871533807	5.6451590379936	9.96867713442535	9.90663877389731	9.76796113713439	9.69499177966721	9.8497420055056	7.60714221671989	8.00540921413651
TGFB1	-1.46597733372473	10.3588078296478	-12.6640379250875	2.50524179877706e-06	0.00272044206929201	5.38701015813731	10.7283232689457	10.8414089545828	10.7748237067058	10.718655939085	10.8250806128122	9.26470580759505	9.35865651780811
PDGFB	-1.54457377343991	8.34265434334463	-12.5407330579617	2.68785651550411e-06	0.00282459037759927	5.32585404871018	8.80169906860006	8.79381327525358	8.78609658772247	8.87197509095314	8.66622165625089	7.32174215781373	7.15703256681851
HPN	-1.52025454434007	9.44111365504432	-12.4219076650007	2.87815903812552e-06	0.00284976537871189	5.26615022069484	9.96493737830081	9.87759895131091	9.88317319927673	9.73280635543119	9.91884459710203	8.39545534321896	8.31497976066957
NUAK2	-1.47589588980319	13.4406320250832	-12.4167430214097	2.88676850224061e-06	0.00284976537871189	5.26353792662287	13.8877395302911	13.8633423397203	13.9005713231329	13.8784669432934	13.7814626886971	12.2982807968823	12.4745605535652
CH25H	-2.31647104577856	11.8994163347148	-12.2613865711771	3.15983850071853e-06	0.00302758996582081	5.18427501672782	12.2444516799835	12.7264194422247	12.6104499903304	12.6897731756567	12.535231736491	10.0123912090541	10.4771971092633
BNC1	-2.59665340854902	7.4489727211528	-12.0490873001032	3.58135710610589e-06	0.00320489547549261	5.0737849164737	8.31678752590046	7.85179395002099	8.24905055001028	8.1964832599625	8.3402531892255	5.26726250031277	5.92117807263709
GJB2	-2.7778872154276	8.4422416807893	-11.9945440214847	3.69965066066333e-06	0.00320489547549261	5.04498463187342	8.9528702470655	9.31311686053152	9.2186335836277	9.45050349952923	9.24449452094627	6.06125316071116	6.85481989311371
DACT1	-1.71833242042519	12.8083086689092	-11.9747566228436	3.74364951777838e-06	0.00320489547549261	5.034494022344	13.380117118342	13.2946595788702	13.3230673169224	13.2272711631484	13.2711887678706	11.3802658034253	11.7815909337858
SAP30	1.40608650553522	11.0422626820749	11.9356356553887	3.83238515772681e-06	0.00320489547549261	5.01368671331426	10.5896505177418	10.6030537859777	10.6632364779616	10.6048490187735	10.7418286020123	12.1001055644372	11.9931148076199
BHLHE40	-1.50465029223956	8.9674338450635	-11.8739461784265	3.97717091220346e-06	0.00320489547549261	4.98069487692272	9.25030229145895	9.45011880257034	9.42793069564475	9.48038963600855	9.37792821712	7.97168139557992	7.813685877062
FOSL1	-2.0424861571348	10.3446352460697	-11.8669608977164	3.99395052336773e-06	0.00320489547549261	4.9769450831025	10.9900498365344	10.9766073353929	10.7850414471447	11.0678152568444	10.8214997217676	8.62805674745786	9.14337637734614
ZBED3	-1.58746253130566	13.5020565519288	-11.8122762157591	4.12810326477348e-06	0.00320489547549261	4.94749039257802	13.9570211185113	13.9934831324503	14.093650328289	13.8020059037291	13.9319258928154	12.4727848612282	12.2635246264785
FLRT3	-1.86945236732394	8.13386601516666	-11.8000667950515	4.15874451899632e-06	0.00320489547549261	4.94088994954797	8.36307444055022	8.80852726153291	8.6130820094079	8.79975254801045	8.75554005536601	6.77489172637489	6.82219406492423
Q6TXG5	-1.40133554655553	8.13993650978949	-11.7719448057173	4.23030068594967e-06	0.00320489547549261	4.92565350316567	8.53622951252083	8.51772526228097	8.42697940142554	8.58151298558014	8.63914331079073	7.13348075720651	7.14448433872171
NOS1AP	-1.57815518282648	7.85015693962413	-11.6823831437768	4.46760404122732e-06	0.00330728294984174	4.87681472820548	8.45494773734145	8.40081003007822	8.27965878590419	8.17339651598642	8.19647903284821	6.78302456122473	6.66278191398571
CSPG4	-1.39937050654791	7.51934693977381	-11.6042651880813	4.68688629025014e-06	0.00330728294984174	4.83382195639779	7.87904785273927	7.92732838876982	8.01433223137849	7.80080212756605	7.9743248220553	6.49645559420162	6.54313756170612
ALOX5	-1.45528919684382	8.60862987410777	-11.5767826888523	4.76689562593241e-06	0.00330728294984174	4.81860859184757	8.96368005191164	9.11444152411289	9.02503040616021	9.1179829457412	8.90099900953263	7.51175981509136	7.62651536620443
ARHGAP9	-1.51297532375039	9.77056237650662	-11.5546031316037	4.83258978173249e-06	0.00330728294984174	4.80629708555089	10.3093432701202	10.2586195532985	10.1131501808658	10.1598892372543	10.1732029606378	8.56432269621019	8.81540873715964
TAC1	-1.69756366947643	10.1521666327603	-11.5411090554585	4.87305711368153e-06	0.00330728294984174	4.79879198885123	10.7046880921292	10.6461030760076	10.525044749289	10.7306001182705	10.5794880845002	8.74528359318163	9.13395871594411
PRDM1	-1.67105650871171	7.74374372867347	-11.505216362479	4.98256699409065e-06	0.00331259357074471	4.77877476679022	8.05452091509254	8.19413766078234	8.25721024181788	8.44815762242416	8.15191578712431	6.63046333537577	6.46980053809729
GPR56	-1.9013070681517	9.89640140505949	-11.4714084118767	5.08825818085442e-06	0.00331325792421644	4.75984742771887	10.3304308434029	10.4949631636105	10.4580539103951	10.3594392890032	10.5552727733883	8.2812822652153	8.79536759040126
HCN4	-1.65448051050672	9.26885419090977	-11.4137882296448	5.27426545532834e-06	0.00331325792421644	4.7274251719478	9.64413722308938	9.68212099471401	9.8093883613714	9.9714125017797	9.60075546003255	8.14972078427236	8.02444401110902
ADRB2	-1.33770440942957	9.44883174416848	-11.3892133138652	5.3559183260099e-06	0.00331325792421644	4.71353403124021	9.75904679442414	9.77511850160681	9.83700122764871	9.94075290392487	9.84324559242295	8.48013060138766	8.5065265877642
SGK1	-1.45697468780162	12.4248182025329	-11.356682934927	5.4662033943201e-06	0.00331325792421644	4.69508766298056	12.9872458346072	12.8604362700969	12.869130285268	12.8040413813509	12.6846296524868	11.4066837079117	11.361560286009
MADCAM1	-1.72152062272438	8.03722405362672	-11.320473319738	5.59198151414094e-06	0.00331325792421644	4.67447645644841	8.75737932838853	8.54491943624466	8.46512547435208	8.37218518715405	8.50582601731483	6.66767297150138	6.94745996043152
RND3	-1.28831351206584	12.082840904609	-11.3199568754142	5.593798871348e-06	0.00331325792421644	4.6741818860997	12.4681139442707	12.4232829838811	12.525489515747	12.3889364638025	12.4488294897234	11.188990822488	11.1362431123502
GOLT1A	-1.4397440674398	8.85630004892643	-11.2362447897257	5.89737117457529e-06	0.00335140295295331	4.62620959003211	9.17305669264615	9.43101790301717	9.24329704643454	9.29127534435581	9.19963049737818	7.76649872568596	7.88932413296717
MMP1	-2.13300472227641	7.9448807019371	-11.2349657081772	5.90215139893811e-06	0.00335140295295331	4.62547312093156	8.46843379665662	8.75765244207015	8.34909383603249	8.337907191281	8.85846584689724	6.301152189027	6.54145961159517
KCNA1	-1.85856540982663	6.69369815884996	-11.2085825474758	6.00173150702168e-06	0.00335140295295331	4.61025878240038	7.0481962864667	7.25406587670639	7.50116739904477	7.31420367208064	7.00595100256075	5.32603423134402	5.40626864374642
SLCO4A1	1.40772457681868	10.1905346156519	11.1298269814263	6.31042471353723e-06	0.00335140295295331	4.56457549021364	9.71326053261152	9.92337643289317	9.82403659151441	9.66412803309334	9.81683637840607	11.2352262033175	11.1568781377273
CNTNAP3	-1.34690546034276	9.14765670311654	-11.1235826226392	6.33565559798794e-06	0.00335140295295331	4.56093612631961	9.46104965513918	9.55065285895792	9.63198233152602	9.58682488742355	9.43192444016852	8.1559490440961	8.21521370450446
SLC6A9	-1.45539666194187	11.3178575039079	-11.0829310153434	6.50271680642944e-06	0.00335140295295331	4.53718110801076	11.7511154710092	11.7414352242781	11.8777728059661	11.6157344300815	11.682367676693	10.1779581873687	10.3786187319587
CCDC19	-1.59005034464923	7.14959916239574	-11.0618025503049	6.59150170590321e-06	0.00335140295295331	4.52479177964533	7.36223267370382	7.636183729782	7.79007439584404	7.61347967588821	7.6175258291167	6.01433731399544	6.01336051843999
KLHDC8A	-1.44457367411232	9.75149791934778	-10.987963573588	6.91267948603765e-06	0.00335140295295331	4.48126269892641	10.0801202489633	10.0862297177362	10.3234578302533	10.1447081939526	10.1866502831369	8.81668911852707	8.62263004286518
KLF5	-1.78096577453063	8.82393141707855	-10.9759613150573	6.96653324487661e-06	0.00335140295295331	4.474153042956	9.43512358749452	9.57869515351006	9.21273706334677	9.14786812100335	9.28946998079609	7.68145967537664	7.42216633802242
ITGA2	-1.47186840742528	5.97958455851306	-10.9680606297483	7.00224121339396e-06	0.00335140295295331	4.46946775684658	6.51421743484154	6.28842822953497	6.48171827564179	6.46959959021105	6.24662841580062	4.8760859606504	4.98041400291103
FGF1	-1.69897656695672	8.66755682751102	-10.9629470083916	7.02546261864337e-06	0.00335140295295331	4.46643304380551	9.11451848241393	9.26991749599938	9.02623920768866	9.09876959587921	9.25544873694069	7.24706622306016	7.66093805059513
LOC375190	-1.51590156865559	7.38463320305589	-10.9480726382921	7.0935029553771e-06	0.00335140295295331	4.45759582096609	7.9193248950666	7.81672677021419	7.92153943145445	7.58144014323029	7.84970844482193	6.31734775909926	6.28634497750455
SYTL2	-1.41397694670882	10.0581008081949	-10.9381063386924	7.13950726506677e-06	0.00335140295295331	4.45166632269057	10.5784188997955	10.5731580616424	10.3683182445186	10.3420102693138	10.4485656324309	9.01052361836159	9.08571093130128
TFAP2C	-1.26011994558421	10.9710823630988	-10.927986277123	7.18656542709659e-06	0.00335140295295331	4.44563853396156	11.3546712069762	11.3875456252464	11.2301170346802	11.3299143438724	11.3533349555531	10.047471080023	10.09452229534
GADD45B	-1.35370970033901	12.3064702801804	-10.9248233183243	7.20134471273389e-06	0.00335140295295331	4.44375317927812	12.7205476110078	12.5901097011689	12.8051082510014	12.710806436752	12.6396504014564	11.267117110713	11.4119524491636
PTPRN2	-1.31190613408963	7.1171480702773	-10.8626439447869	7.49894924356363e-06	0.00344075027475454	4.40655298171035	7.47245042535705	7.49187313382366	7.55739406696728	7.44502822972281	7.49314611564374	6.28608353355441	6.07406098687214
S100A3	-1.46205498752913	7.63826613357439	-10.8287397777632	7.6670414227755e-06	0.00346901678374663	4.38615888898437	8.20752895304502	8.02203980380176	7.93858768816448	7.94055130319656	8.1712729018486	6.55018859019889	6.63769369476541
MAP3K14	-1.4673071348457	10.9119933647106	-10.7670082114843	7.98410732384643e-06	0.00356298992176637	4.34882482440801	11.2125527886563	11.2235410512541	11.5327231022836	11.387930254027	11.2993726771117	9.89129413851019	9.83653954113149
SESN2	-1.53690646130699	10.5615513185144	-10.726684087466	8.19918538642193e-06	0.00356948394827973	4.32429640080306	10.9422270699042	11.0337725817702	11.1178267992181	11.1114832216429	10.7980275790466	9.56715123856343	9.36037073945541
CXCL1	-2.19679641692335	10.3045717943065	-10.7232500837399	8.21780078340485e-06	0.00356948394827973	4.32220237838552	10.7939769051571	11.0029038901283	10.7463775202651	11.1888235825831	10.9290576690039	8.42081414029394	9.05004885271436
CSF1R	-1.64267548899838	8.39533944208574	-10.6787509429358	8.46337981711716e-06	0.0035907981898453	4.29499337046972	8.64583572587589	9.04835537454176	8.98607161628102	8.73181941557871	8.91129434814903	7.29381822270767	7.15018139146612
lincRNA:chr6:33811803-33813967_F	-1.25565435906191	6.24359539417754	-10.6744906944366	8.48732113509802e-06	0.0035907981898453	4.29238122933852	6.51464217526757	6.63365562521608	6.59891517049482	6.58461222077899	6.67994372064725	5.29054215831369	5.40285668852437
SLFN12	-1.22455835441227	8.38989281745838	-10.6449237088252	8.65559494359163e-06	0.00361504251894083	4.27421758767465	8.78745067378331	8.8088417191162	8.69472759905113	8.69403889854719	8.7137742745259	7.55409919089561	7.47631736628935
LOC728730	-1.57943867108628	7.24626233923511	-10.5699152375127	9.09959605746285e-06	0.00375237393372111	4.22786344554361	7.80877401908114	7.86233790578043	7.7174310032356	7.63332544897036	7.4657842778027	6.20313643049263	6.0330472892829
SH2B3	-1.3327350951478	11.25232335137	-10.5423861061544	9.26893683231046e-06	0.00377442693982722	4.21075131044106	11.6048496397196	11.5752211180157	11.6616197545997	11.7862730024518	11.5375605208456	10.2423703964749	10.3583690274825
TM4SF19	-1.27011340634188	7.03131391032711	-10.5200148486923	9.40916455325424e-06	0.00378422658828843	4.19680571094214	7.24693479194462	7.45677900364419	7.44642534334602	7.40977654631404	7.41110158973222	6.13792242763579	6.11025766967289
SERPINE1	-2.30616234597607	10.3731822422984	-10.4263566306225	1.00227356628206e-05	0.0038947653979004	4.138033613587	10.9234892432694	10.7037015565499	11.1903797876142	11.3022567512292	11.0406015099382	8.42662316598075	9.02522368150743
LOC284242	1.42549721614815	9.38562682301373	10.40767227473	1.01504563515019e-05	0.0038947653979004	4.12623337694444	8.87108263454378	8.94473532098277	8.88369853393887	9.11878328737498	9.07340974373088	10.2950533712998	10.512624869225
AXL	-1.43125293128786	13.1026394107974	-10.4071250782927	1.01542243310058e-05	0.0038947653979004	4.12588741060605	13.494915312449	13.7448302142229	13.4376286383301	13.3959905110835	13.4844794225985	12.1069650937572	12.0536666831407
AGPAT9	-1.91014988587824	10.6581362839307	-10.4059628207699	1.0162232827502e-05	0.0038947653979004	4.12515249840872	11.2393869688559	11.4668516287452	10.9786446458725	10.9529790280301	11.3816046994042	9.19829571652206	9.38919130008463
TIMP3	-1.56744174966734	8.04212040367176	-10.3652407196506	1.04473654443403e-05	0.00395748632651483	4.09934145298939	8.70298656053154	8.36395663421305	8.53847927553169	8.29738192000836	8.54700012759895	6.83871456313759	7.00632374468116
AASS	-1.3832545433431	14.3999469158478	-10.3123996700504	1.08308678131529e-05	0.00405559977872508	4.06566881970092	14.9280172702166	14.8426036347971	14.7653577418424	14.5913284944523	14.8485053569922	13.3942577504296	13.4295581622045
TNS4	-1.30730070255424	9.1734566618654	-10.28794190322	1.10137174639327e-05	0.00407483787332889	4.05001395304556	9.46341440822293	9.71426360202623	9.47261028216009	9.49258332799623	9.59198412114186	8.22275441344311	8.25658647806735
Q6P4E4	-1.64930683112269	10.5004193514414	-10.2321091036416	1.14442914066802e-05	0.00407483787332889	4.01411121348527	11.1366197845864	11.1561315622011	10.7682736172725	10.76302180265	11.0342026063866	9.29699176738622	9.34769431960703
PIK3CD	-1.55394498283363	10.2024871699532	-10.2284615017247	1.1473073510457e-05	0.00407483787332889	4.01175761920977	10.3549179227017	10.8054704729343	10.6827623206309	10.7386154351718	10.6505911023752	9.10172188758488	9.08333104827338
OBFC2A	-1.73113921542284	10.680396089678	-10.2265827583111	1.1487929865649e-05	0.00407483787332889	4.0105449848804	10.8865892342587	11.1895202416658	11.2028376040307	11.4610803286227	11.1350090618445	9.36531238634888	9.5224237709744
INHBA	-1.32504986244632	11.474218070855	-10.2240917228408	1.15076613668005e-05	0.00407483787332889	4.00893674211033	11.7052931295282	11.8817113113088	11.8947777923643	11.8483810287063	11.9338554672907	10.4227324300225	10.6327753367642
FAAH2	1.45421753345375	10.1596586744353	10.1888178506086	1.1791198130427e-05	0.00412665490664228	3.98611387415804	9.74138830470169	9.6122397937689	9.95293536831581	9.59041295667294	9.82386332949751	11.1865287522645	11.2102422158257
PPP1R15A	-1.47827721365688	9.75078819316955	-10.1708927242264	1.19382888804654e-05	0.00412665490664228	3.97448035141752	10.3181927426864	10.002086986067	10.2768879225069	10.1889417858501	10.0796561196758	8.57386341003349	8.81588838536721
lincRNA:chrX:133675909-133682959_R	-1.74917081519821	6.62254993141401	-10.1593596616296	1.20340183605309e-05	0.00412665490664228	3.9669825865466	6.94677991346552	6.98891691308462	7.43599684142853	7.18470621994735	7.0551652194272	5.24061750984993	5.50566690269495
lincRNA:chr14:95988347-96000917_R	-1.40994366445057	7.06940010929886	-10.0873761695019	1.26513935943161e-05	0.00418474036436968	3.91995891631338	7.58398868702728	7.41628405595443	7.57413326320314	7.25321350000296	7.53358627523588	6.01433731399544	6.11025766967289
SLC12A1	1.52244520722175	5.85726137141647	10.0771229752723	1.27421963372936e-05	0.00418474036436968	3.91322904366483	5.30028083949626	5.28451443492752	5.60985011908565	5.30727976672959	5.60945997224084	6.95549779254267	6.93394667489278
GJB3	-1.21071212199176	7.09925735989683	-10.0769592886551	1.27436518859873e-05	0.00418474036436968	3.91312154015127	7.3676452826035	7.4196520642152	7.45487771418235	7.56372883000554	7.41997165418007	6.17841504547238	6.29051092861876
E2F8	1.4037938075875	8.22381675520664	10.0515577958311	1.2971812444159e-05	0.00418474036436968	3.89641402854901	7.65634759179315	8.00440557149627	7.81659455147722	7.74425660673471	7.89205972940686	9.29830993480558	9.15474330073269
lincRNA:chr1:181309852-181429627_F	1.26404715908007	13.3274533968884	10.0374921482624	1.3100126861727e-05	0.00418474036436968	3.8871413527146	12.9044103250703	13.1011337073454	12.9517847342541	12.8592062882568	13.0149502736868	14.2891396128254	14.1715488367801
TXNIP	-1.47702674620336	11.7879854245318	-10.0294557727333	1.3174079506921e-05	0.00418474036436968	3.88183663986169	12.1002440577844	12.308313087722	12.2453008021315	12.3616542697914	12.0344531140917	10.6133920382941	10.8525406019076
LOC284219	-1.35639804689345	10.1546595635653	-10.0273641489075	1.31934040571574e-05	0.00418474036436968	3.88045517376593	10.4445055120014	10.6671407722854	10.6243515185023	10.4876596298611	10.4873518807385	9.06092000334117	9.31068762822743
CHMP4C	-1.27032097372331	8.45981426889615	-10.0232982257917	1.32310604883837e-05	0.00418474036436968	3.877768772534	8.81372651029514	8.84625963151707	8.85534098152437	8.67902415151155	8.91946431780879	7.63441498568452	7.47046930393163
EFNB1	1.5427109392187	9.72908222225835	10.004481699418	1.34069107674395e-05	0.00419026215930967	3.86531996794261	9.41405780766229	9.36241569738457	9.20259412896551	9.0691227613489	9.39334794561807	10.6895680622383	10.9724691525908
LOC284561	-1.4235625621669	6.91214949886386	-9.99402475664841	1.35057717631309e-05	0.00419026215930967	3.8583900111137	7.23895825021318	7.2890546796818	7.55162517272819	7.24241619776822	7.27235399702347	5.79299702451648	5.99764117011567
A_33_P3278684	-1.37346924456726	7.32697447566215	-9.91716998665881	1.42580417891854e-05	0.00434244179950376	3.80719816000853	7.63799557650116	7.69406492652097	7.94782944684304	7.58553867060913	7.7315426786468	6.32342311444311	6.36842691607081
HRG	-1.28674503493942	7.31723362861528	-9.9166922991937	1.42628625271481e-05	0.00434244179950376	3.80687854632862	7.54807031104276	7.7287049871531	7.62110973146924	7.69351838000804	7.83297192617389	6.34014570507841	6.45611435938155
PADI1	-1.60755219314784	9.04628980618184	-9.8651145357209	1.47943240811894e-05	0.00439857519884696	3.77226379701347	9.58898711893373	9.42473410846717	9.29495483758727	9.52906777411722	9.69020832487215	7.71781653557589	8.07825994371944
CLEC4GP1	1.34093009410165	6.6053582856462	9.86129276049122	1.48345816297742e-05	0.00439857519884696	3.76969064673844	6.22077384920486	6.04756989406932	6.32881751968971	6.24403923539406	6.26997650972785	7.67830396068456	7.44802703075305
ACRBP	-1.26254178233664	8.19513104593349	-9.85961470007241	1.48522967699041e-05	0.00439857519884696	3.7685604686801	8.67121532037086	8.61243707786854	8.5337256674105	8.56575117158434	8.39615711005698	7.23794314119235	7.34868783305085
MEF2B	-1.71458537168997	11.8283417563776	-9.83127039642031	1.51551484970057e-05	0.00444783128456716	3.74943703777165	12.4287328637883	12.5126357233596	12.2106628222327	12.0041790794309	12.4349059669194	10.4918788730275	10.715396965885
FILIP1	-1.7907800088729	8.93117370307207	-9.78824381592019	1.56282389536885e-05	0.00454572446780633	3.72028649722503	9.80156587484758	9.26015657592227	9.50266081249906	9.18705139225884	9.46269101536533	7.64709289388428	7.65699735672715
EFNB2	-1.74861185238865	10.701025597441	-9.76098808443075	1.59365071040729e-05	0.0045678091548646	3.70174472508945	11.3598220297623	11.2304510690822	11.139416355336	10.9361431033264	11.3373123616817	9.23051306972761	9.67352119317056
CER1	-1.46488082849046	10.4109161273647	-9.75678959579415	1.59845978345018e-05	0.0045678091548646	3.69888328117866	10.7246698334935	10.8293227237126	10.8998538076101	11.0227634209885	10.6706577488621	9.23042986864566	9.49871548824018
ARAP2	-1.7288662686103	7.67173512083837	-9.69451490467347	1.67174119217353e-05	0.00469738583779789	3.6562748817274	8.14361506977539	8.11072051326034	8.45474321941642	8.15054924043497	7.96885651646229	6.22752823752184	6.64613304899733
G0S2	-1.97894891555918	10.0469884482007	-9.69376816775878	1.67264253057235e-05	0.00469738583779789	3.65576207446914	10.5114887394182	10.877108057577	10.465179094762	10.4483310356244	10.7599051929921	8.34299887248085	8.92390814455029
HMOX1	-2.4825261279596	15.6391182428918	-9.66297501618136	1.71029106628774e-05	0.00476206427918426	3.63457629491912	15.9572205524307	16.4960552012123	16.3239293646008	16.6421317622262	16.3227202310743	13.4675195398483	14.2642510488502
PDYN	-2.4590575984293	7.15556634036868	-9.65004054514757	1.72638844557116e-05	0.00476614884672641	3.62565447644538	8.15802753799652	7.39793029447888	7.92044438410546	7.55259091356228	8.26177799802783	5.34242429729192	5.45576895711786
IL1A	-1.13353402231064	6.30923526043974	-9.63472861101072	1.74566520687072e-05	0.00477886852472501	3.6150752174597	6.64856924560788	6.57447863385797	6.74060590260801	6.62408459646591	6.57777224124553	5.53830234300523	5.46083386028762
