logFC	AveExpr	t	P.Value	adj.P.Val	B	BC_Het_82_d25_1	BC_Het_82_d25_2	BC_Het_82_d25_3	BC_WT_d25_1	BC_WT_d25_2	BC_WT_d25_3
LRRC61	4.54131090845405	7.40734142181829	14.6957226707856	2.32272877479708e-10	4.01305817847115e-07	13.7681054457251	5.17424336958159	5.23296456921049	5.00284996398172	9.84869400758961	9.56311261278973	9.62218400775662
POTED	4.93129584729047	10.6908184271386	14.671995598869	2.37658284270117e-10	4.01305817847115e-07	13.7481414355229	8.02023850463121	8.77068562663691	7.88458737921187	13.1085883190049	13.1055962485985	13.255214484748
GCG	-6.16097482919959	9.76559167360744	-14.2081610800993	3.74484433016398e-10	5.83706005093175e-07	13.3499318757716	13.4811217999289	11.6780002773218	13.3791151873711	6.52569232178894	6.56170997675044	6.96791047848355
TYW3	-4.45475903364052	5.41757151711165	-13.9678287718384	4.76402490181699e-10	6.89524547039413e-07	13.1375079533227	7.70761099684047	7.57311202190105	7.6541300830542	3.37047672939256	2.81969283401337	3.38040643746825
POTEB	5.019598566072	11.3296547495174	13.705511901804	6.22111173932621e-10	8.40389247826447e-07	12.9007391324037	8.54382888485444	9.59255859682981	8.32317891776002	13.7524329982862	13.7854507229093	13.9804783764648
MAGEA10	4.94810495639927	6.07931430416562	13.3461572881073	9.03169075589376e-10	1.14380718616672e-06	12.5677989442148	2.97989433318495	4.06848533564397	3.76740580906903	8.44316878498548	9.04173460151283	8.17519696059746
GLI3	-4.33504301501897	6.54910577338003	-13.212844847466	1.0393916783549e-09	1.23889373991207e-06	12.4416927658316	8.6517545820433	8.61348402747959	8.88464323314566	4.33693893137554	4.79346187028642	4.01435199594968
SLC30A8	-4.18951007687171	10.2556901240593	-13.1429123512078	1.11942099319918e-09	1.26015708806639e-06	12.3749679381105	12.3795460898071	12.2925964607539	12.3791929369244	8.07259935833125	7.89203293615241	8.51817296238664
SLC17A9	-4.53386363272165	7.66199202375744	-12.9625487470022	1.35754291716448e-09	1.44778379634231e-06	12.2010333408289	9.55279064758291	10.5935085655112	9.64047230726071	5.41908343601923	5.4711197744584	5.2949774117122
DLX6	4.37187953664112	6.62781756854373	12.4951266217533	2.26196610005648e-09	2.29171095427223e-06	11.7375779218678	4.69800414067353	4.59410549525189	4.03352376474409	8.42033949021066	9.32427271985642	8.69665980052578
PCDHB5	3.9112819089724	8.00485906211374	12.4430178305183	2.39681004213264e-09	2.31269342303494e-06	11.6847471467392	6.16375513141034	5.83087437264398	6.15302481882832	10.185407390307	9.81887581783301	9.87721684165979
CASR	-4.69669105301315	8.01512796726791	-12.3544583028294	2.64590392226448e-09	2.43699778076569e-06	11.5944129192973	10.1492150696827	10.7912362115022	10.1499692001385	6.21172961197556	4.91164327171872	5.87697443858974
TLX2	4.16203952810274	8.3855857629934	11.9691460574999	4.09661390684103e-09	3.60911685192695e-06	11.1931955832663	6.10742015413918	6.60343916264789	6.20283868003902	10.6677102189106	9.89101180284125	10.8410945593825
MUC15	4.42933286196421	7.03254835845486	11.5257794861206	6.87365721428397e-09	5.66096836710724e-06	10.7144958677926	4.54252918621149	5.03895306393776	4.87216353226901	9.90666363922623	8.42881204380523	9.40616868527942
CSAG1	3.62954001483742	12.6240818385257	11.4552164661318	7.47488855647206e-09	5.66096836710724e-06	10.6365721917203	10.6166562125106	11.1469384553782	10.6643408254321	14.3735801534033	14.4141944910117	14.5287808934181
NEFM	-4.46046620869368	6.58707842144057	-11.4517514198811	7.50581154475459e-09	5.66096836710724e-06	10.6327331722802	8.5421916143615	9.28317803256984	8.62656493043088	4.93748032916682	3.55955357338178	4.57350204873258
LINC00470	3.73383865129404	8.22383703347819	11.44759144477	7.54311532901818e-09	5.66096836710724e-06	10.6281226691268	6.28644548880691	6.50681313897375	6.27749449571287	10.4443384026403	9.6906520322109	10.1372786425244
CBLN4	-3.51997896815481	7.13525077896376	-11.3979112462968	8.00410424839733e-09	5.79239872804554e-06	10.5729308363929	8.80991413922827	8.94361597530006	8.93219067459514	5.36744187023067	5.20564906608863	5.55269294833976
HOXB2	-3.60636115792623	7.26887725692885	-11.2490193391687	9.57339425521461e-09	6.68916164804875e-06	10.4060590617878	9.08578842489334	8.93989206223259	9.19049302054995	5.76406583577649	5.12411980839666	5.50890438972406
HOXC6	3.43272621562467	9.59414643501016	11.1386873399284	1.09450019920105e-08	7.39261917880364e-06	10.2809737371431	7.97380204640093	7.7102399912688	7.94930794392376	11.3878102708052	11.1980787625895	11.3456395950727
NUDT19	-3.65198543903498	7.18111595412261	-11.059777931161	1.20527684091677e-08	7.87823375080534e-06	10.1907568929725	8.93420651980557	8.74009957373229	9.34701992738245	5.5504958473294	5.00083984791376	5.5140340085722
EEF1A2	-3.57732894963869	10.0827363417224	-11.0275304297087	1.25390993751247e-08	7.93999283244222e-06	10.1537055251671	11.7843242026831	12.1735393631926	11.6563388837494	8.54725035791547	8.00369365655859	8.33127158623504
A_33_P3229958	-3.91821160465092	5.59593513294817	-10.9010818123283	1.46560464959691e-08	8.99925667114612e-06	10.0073870949442	7.25199688321791	7.7070562939752	7.70606962862779	3.73585964103047	3.00176455227812	4.17286379855954
CSAG2	3.52350178308282	11.9875577586163	10.6994256328152	1.88519091169393e-08	1.12351833657806e-05	9.77059222144852	9.85215447629572	10.6449674653549	10.1802986595741	13.5725697454228	13.7953721084631	13.8799840965874
SLC7A4	-3.52007896182676	8.72730140797724	-10.5907739385972	2.16240338289427e-08	1.25190799278819e-05	9.64122120238558	10.4461517778299	10.7114371898131	10.3044336990289	7.27096994865384	6.50724062926933	7.12357520326841
ENST00000361201	3.33984513244129	12.0669416114815	10.542390613372	2.29943907082568e-08	1.27819454387267e-05	9.58320350837238	10.169707915662	10.7408053705833	10.2805438495372	13.7436887188616	13.7551810703333	13.7117227439115
B3GALT2	-3.45715656097145	7.57272907353305	-10.5306801649947	2.33396822401859e-08	1.27819454387267e-05	9.56912319424979	9.45474151870039	9.00110873900111	9.44807180435482	6.0963550305769	5.4711197744584	5.96497757410666
TMEM132B	-3.32809567817242	7.8454777864533	-10.3231757182459	3.04598648434351e-08	1.62423221400665e-05	9.317144621272	9.43905176524332	9.64173756421655	9.44778754715864	6.39874512734663	5.78263569620085	6.36290901855378
FAM50B	-3.37034479890699	8.0986342388551	-10.1653510572549	3.74005469683853e-08	1.94319816210357e-05	9.12230573610713	9.85215447629572	9.55169258971853	9.94757284891155	6.73677480809078	5.96971272989624	6.53389798021781
OPCML	-4.34673555608638	7.42437564968664	-10.1226922562257	3.9550832534137e-08	2.00354629909805e-05	9.06916245223124	9.55361011954823	9.60616569497037	9.63345446867088	5.95285196797827	4.07919400763594	5.72097763931613
THEM4	-3.12372148661581	7.57919662936289	-9.88784255162905	5.39779046473563e-08	2.6541827972618e-05	8.77287886226656	9.24595766939394	9.08029552278535	9.0969189258331	6.31100065692832	5.9839120369547	5.75709496428194
POTEE	3.05551690332926	12.6371046006211	9.87361338775494	5.50143993905126e-08	2.6541827972618e-05	8.75472347093341	11.0570728407434	11.3264896986962	10.9444759074299	14.2092447689174	14.1327389283276	14.1526054596123
DPP7	-3.12799371457391	9.40348268494397	-9.83071935763683	5.82681695771803e-08	2.74578586079629e-05	8.69985124540039	11.0766731246078	10.9426996284579	10.883065873627	8.1647488444261	7.56280556647416	7.79090307207079
TAC1	-4.14505576587629	6.58430468897859	-9.71445305950525	6.81528454099502e-08	3.13859342395868e-05	8.55003454285834	8.90458207862713	8.07855976304205	8.98735587408101	5.35037186449318	3.6039649565258	4.58099359710235
HOXC9	3.10279382388495	9.2883231377838	9.66277165443266	7.31018443361087e-08	3.29169482618349e-05	8.48292798168161	7.69361681599529	8.02558882191215	7.49157303961654	10.8429051031657	10.6130460504964	11.0632089955167
CBFA2T3	-2.97221120112666	8.5922901495457	-9.64409518982259	7.49824893001502e-08	3.30297865367162e-05	8.45859925209199	10.0846949092722	10.0138241460096	10.1366681950453	7.03657056945293	6.98686249866263	7.29512057883155
C5orf38	-3.09133459935299	6.50541866970527	-9.62603387657973	7.68498536437262e-08	3.31320975400601e-05	8.43503235166202	8.17915764955777	8.11975573693743	7.85434452165009	5.28708138408692	4.91164327171872	4.6805294542807
DACH1	-3.5263184796287	9.37809962879434	-9.51808031248638	8.9085450740355e-08	3.69549567124358e-05	8.29335783810102	11.2858473544317	10.886375959711	11.2515532916833	8.25602569076892	6.90284004631806	7.685955429853
lincRNA:chr4:90602655-90605092_F	3.19745626648761	6.44572939279505	9.5158047492024	8.93645007604675e-08	3.69549567124358e-05	8.29035639768314	4.80359106515165	4.80055515929934	4.93685755420274	7.88710657187196	8.58118706629904	7.66507893994557
lincRNA:chr14:92224252-92224737_R	-3.359307694034	5.46421325298272	-9.4896800461623	9.26350982006741e-08	3.69744599198676e-05	8.25585344597311	7.662546752109	6.71057116005892	7.05848338783125	4.21439203396556	3.63685075540397	3.50243542852763
GNE	-2.98956832862932	10.8575685203752	-9.48634897564882	9.30611190797635e-08	3.69744599198676e-05	8.25144816496363	12.2848580113054	12.3854189148782	12.3867811278859	9.68276055598766	9.1909830391994	9.21460947299449
LOC440910	3.25999749139175	8.35324254722886	9.43587346783201	9.97760565574421e-08	3.88800429619894e-05	8.18453065085151	6.50823153144897	7.14480269719416	6.51669717595581	10.4236607667804	9.59310907452384	9.93295403747
PRPH2	-3.05323737440202	6.88417510423075	-9.41378797479479	1.02873339720797e-07	3.93306128823114e-05	8.15515362847561	8.19712408759043	8.69732625572042	8.33793103098442	5.52021960163231	5.03001066204735	5.52243898740954
LOC100131289	-4.18983009693818	4.34017192567994	-9.3694530676575	1.09401409755834e-07	4.10518660348603e-05	8.09600194831549	6.28714952143972	6.71057116005892	6.30754024094845	2.31611551284301	3.28724463255812	1.13241048623143
C20orf195	-3.05718518773589	8.82603417688503	-9.31838184414108	1.17467249877017e-07	4.28733295084024e-05	8.02756431979817	10.4414722055019	10.2285619764654	10.3938461302916	7.75190784960534	6.98473244732893	7.15568445211699
CSRP1	-3.01177042184456	6.04852467476644	-9.31218865474464	1.18487215736591e-07	4.28733295084024e-05	8.01924339078552	7.46350042914865	7.8769068448609	7.3228223830566	4.81655913628863	4.37315512998394	4.43820412525992
LY6H	-4.21038695577242	8.3595530914562	-9.29105273934898	1.2203909740509e-07	4.29312391154701e-05	7.99081041197138	10.6974724968126	10.0033495859033	10.6934176253114	7.09276534241329	5.06323595442678	6.6070775438699
IGF2	-2.86668898383321	9.71675570649568	-9.28506881156083	1.230649806832e-07	4.29312391154701e-05	7.98275055655229	11.306044254858	11.0968061038167	11.0474502365621	8.25098901466155	8.42379262402901	8.17545200504665
KCNK2	3.17914601811822	5.67980174119829	9.27390471315936	1.25003361190975e-07	4.29312391154701e-05	7.96770161864945	3.86810818531614	4.09692551881852	4.30565249228288	7.69611363056679	6.73627127768172	7.3757393425237
CHST8	-2.96983985480475	11.028424972613	-9.22392117538585	1.34085393231801e-07	4.5282872050933e-05	7.90013585198562	12.4739301271901	12.791648190871	12.274456381985	9.82681923546953	9.36405816539944	9.439637734763
IRX2	-5.97843507802749	11.9076105392756	-9.15752590245952	1.47240155697534e-07	4.89102831950677e-05	7.8099051169603	14.8379349269133	15.0145529928428	14.8379963151118	10.0505322021947	6.67449671288777	10.0301500857031
OR51E1	-3.6940628353179	6.66000357463375	-9.08549787160084	1.63063991549482e-07	5.32929945285023e-05	7.71139597989263	9.04579333862661	7.57764282318707	8.89766881506442	5.25503936065271	4.42224680730793	4.76163030296378
lincRNA:chr1:186969952-187183302_F	2.95419952242483	5.85521081213884	9.05702225622213	1.69806075841915e-07	5.46155637267415e-05	7.67227134766907	3.93423039370938	4.65978621897708	4.54031654009282	7.29708714694885	7.25878363394483	7.4410609391601
ENST00000400102	-3.51390036577289	8.32670682395545	-8.96380723397201	1.94011056800754e-07	6.14257194367763e-05	7.54347896179145	10.0313207390398	10.3498349493168	9.86981533216909	7.3750849734588	5.77903616068276	6.55514878906544
DMRTC1	-2.91757467154461	10.0441407530864	-8.92942235421638	2.03836410396911e-07	6.35436489826555e-05	7.49569138573482	11.6287204984232	11.1869382184254	11.6931255497276	8.91374658790046	8.33219990398473	8.51011376005714
ITIH2	2.732339615729	8.33789575298518	8.9132097995673	2.08649872965341e-07	6.40586723620714e-05	7.47310701885062	6.91631783084754	6.94696148130001	7.05189852321448	9.83738644303807	9.60034819727122	9.67446204223975
LOC145837	-2.87603740836013	9.72533673601124	-8.89597290284686	2.13899178645677e-07	6.46709143803398e-05	7.44905881083153	11.0202240202134	11.5627666371099	10.9070756632506	8.26385966174533	8.17216347156581	8.42593096218241
KLK12	-2.93207156362707	6.66936078572589	-8.88591239922334	2.17027201197409e-07	6.46709143803398e-05	7.43500520336426	8.33025184794328	7.76742911209315	8.30850874258182	4.8830663676288	5.26252168154487	5.4643869625634
GATM	-2.78187398460172	10.138006878033	-8.8679691923242	2.22726467920081e-07	6.54073394125305e-05	7.4099079153151	11.5466137739661	11.4388961771654	11.6013216598702	8.84528367940073	8.93455746248858	8.46136851530726
ENST00000500944	-3.44368821097647	9.55559069162859	-8.84461751019844	2.30380999993709e-07	6.66887171838931e-05	7.37718374122512	11.26211365784	11.429089519374	11.1411012141365	8.59232644763809	6.98473244732893	7.92418086345403
DKFZp686K1684	-2.96924900083968	8.29219081575478	-8.7473562210462	2.65375044948212e-07	7.5736542757544e-05	7.24012771248116	9.73261546317089	9.8638832512521	9.73394723410087	7.32491078523194	6.31589141146241	6.78189674931046
lincRNA:chr14:92220122-92237072_R	-3.15552810989903	5.6674447151385	-8.72248535752121	2.75194772060205e-07	7.7448217586888e-05	7.204883782234	7.23251402949365	6.61360359619832	7.88950868457207	4.08527770373839	4.26819149460566	3.91557278222291
IRX1	-6.78254633853067	12.854943453209	-8.67616481763975	2.94518559594427e-07	8.17510900419435e-05	7.13902894016248	16.2330883373324	16.3170704614239	16.1884910686669	11.0851083660055	6.67621991283826	10.6296825729873
SDPR	2.78177577769234	7.04620329792558	8.64003647169418	3.10581356441362e-07	8.46144169007637e-05	7.08746963836161	5.82156602534917	5.29596138346866	5.84841881842038	8.46476769148203	8.60213834202068	8.24436752681253
ADAMTS9	2.8086234332207	9.0895787429021	8.63436487100797	3.13185671793776e-07	8.46144169007637e-05	7.07936005865297	7.75463014453348	7.68986884149354	7.61130209284822	10.6127984554764	10.8062183566819	10.0626545663791
AK126778	2.72216414954012	5.81602919800308	8.60934055765945	3.24954308435719e-07	8.66388046293813e-05	7.04352836384605	4.54252918621149	4.52696925223261	4.29534293125494	7.47668017183923	7.0639330455627	6.99072060091748
SLC18A2	-2.90714455384102	7.80962703202582	-8.58122563263462	3.38734422916766e-07	8.91399430073042e-05	7.00317291032059	9.27781183833456	9.36089578248347	9.15089030602097	6.76087063250428	5.80508027771716	6.50221335509451
MAGEA12	2.87329144817045	10.5472814647715	8.56211220083855	3.48453254724753e-07	9.05219012883035e-05	6.97567839724776	8.99869334754044	9.26517731019992	9.06803656431834	12.4248635872013	11.5061485472754	12.0207694320934
FAT1	-2.83941567685819	8.26260343056702	-8.46366266193095	4.03385270570704e-07	0.000103465768830053	6.83329240115004	9.77754620356503	9.582512860989	9.6868747424343	6.66710328788166	7.37541092175828	6.48617256677383
FAM149A	-2.95392978602639	5.2120218046145	-8.43817847449646	4.19042741192931e-07	0.000105230711654987	6.79622480832889	6.9224343501786	6.39608285042656	6.74844289227793	3.37047672939256	4.33225857688372	3.50243542852763
LDB2	-2.72511564011683	7.57351280557572	-8.43109461538097	4.23507842860383e-07	0.000105230711654987	6.78590568694667	8.84083531948909	9.19893966758874	8.76843688982459	6.33691781842824	5.8763522435343	6.41959489458939
TMEM30B	-2.57464709058566	11.010670654167	-8.42741639309394	4.25846042328824e-07	0.000105230711654987	6.7805449398529	12.3290982795288	12.2092700005393	12.3556143183114	9.8133529980519	9.69782995084902	9.65885837772164
CALB1	2.88110731718649	10.0860623970299	8.27535539225487	5.35454814685026e-07	0.000130721938674249	6.55733562869756	8.81630191560728	8.28509485869501	8.83512944100775	11.3675255147164	12.0667271599192	11.1455954922339
MAGEA1	2.67202780885269	10.2234804207464	8.25138126889223	5.55285283588208e-07	0.000133949353587475	6.52185917785487	8.8844382629192	9.15280509166527	8.62515619437577	11.8642147069644	11.4704408175426	11.3438274510113
RAB34	-2.75098286375114	6.59466507295256	-8.16996943674448	6.28600327710052e-07	0.000149850922828103	6.40080401052576	8.15968757476149	7.92515904761381	7.82562289210909	4.90342049393929	5.00879214989934	5.74530827939237
C2orf40	-3.52695210696496	6.69150017234348	-8.12123368984316	6.77305738137862e-07	0.000159584257812645	6.32790333713757	8.70859393300957	7.74213418149281	8.91420056297551	5.71205697576475	4.04605047995254	5.02596490086572
GABRA1	3.65894191940348	8.01651253973877	8.07356372869071	7.28801280294375e-07	0.000169743682098907	6.25628160108279	6.18314687965106	5.99103343105434	6.38694442940568	10.4953425529668	8.55816758350668	10.4844403618481
PYCARD	-2.7925921507312	9.83227336599718	-8.06072225820101	7.43366415912564e-07	0.000171168564609503	6.23693446951	11.2437781757685	11.3363866430211	11.1055435052988	8.48057770673063	7.86581320084812	8.961540964316
NETO1	-2.48758979825762	5.94666604304272	-7.97496435541622	8.48833039421985e-07	0.000193257346941659	6.10714653264534	7.15347200831244	7.09704272309924	7.32086809510291	4.81972780545329	4.46096769810488	4.82791792818356
SKAP1	-2.51329333326225	7.00889773423169	-7.96257951690195	8.65319241193464e-07	0.000194821819825591	6.08831886887776	8.20957598974188	8.35402156489364	8.23303564795294	5.49569701115997	6.04935785049561	5.71169834114612
CDH18	-2.69228550643764	8.57358519721246	-7.94773072906463	8.85530392293322e-07	0.00019718134438505	6.06571738199715	9.7222904663475	10.1738398085086	9.86305357643774	7.53020335265024	6.71106304017059	7.4410609391601
XKR6	-2.48752180533626	6.51210353863658	-7.92927701660862	9.11342544384578e-07	0.000200723195400703	6.0375860809369	7.82189876300551	7.73350933057275	7.71218523033586	5.53908592663253	5.02441925414889	5.24152272712392
RAMP1	3.04920510544255	13.7383880853496	7.91400042331835	9.33309172850559e-07	0.00020335100827388	6.01426219635444	12.6341321258945	11.3500837863562	12.6571406856341	15.0251911467362	15.5701185192305	15.1936622482458
LOC100509175	2.95946756621967	6.64467922700501	7.83432410916177	1.05726012933825e-06	0.0002279070425615	5.89208661029695	4.94129375194387	5.35348931020174	5.20005326953991	8.52566366316177	7.28495518086272	8.56262018632004
TMEM176B	-2.87138033968089	9.98727808808289	-7.8159834322714	1.08817170298776e-06	0.0002321012970278	5.86383724692421	11.4210508454879	11.6002596755528	11.2475942527292	9.05632531290235	7.78700391223042	8.81143452959457
TCN1	4.55403215172783	7.89639970842713	7.76737558890363	1.17478083992708e-06	0.000247964418327524	5.7887401933763	6.0009397364481	5.62543034970485	5.2317808115367	9.31460115530939	12.0693784691526	9.13626772841117
REC8	-2.51698588550736	11.5906411061479	-7.7342617587907	1.23791117084774e-06	0.000258595814998842	5.73739032594108	12.6757701939739	13.1941166182736	12.6775153344573	10.6029894863598	10.0928053492077	10.3006496546152
MEP1A	2.45709340606872	7.94293364415728	7.6809682807001	1.34711060964959e-06	0.000278535737584997	5.65442276234881	6.94801003084961	6.36180076727164	6.83335002524751	9.32586924039646	9.08237432827845	9.10619747290002
TMEM190	-2.44273098720601	13.3898852459113	-7.67290799707202	1.36448804753059e-06	0.000279279003102145	5.64183950271579	14.7187975887066	14.4809513688052	14.6340032610312	12.2021158602877	11.8549869206424	12.4484564759949
LPAR1	-2.37936029342492	9.86928385844774	-7.57247442032516	1.60189650159149e-06	0.000322593759367878	5.48427521398988	11.089359107015	10.9800101789331	11.1075227295325	8.57794324128162	8.97778368639981	8.48308420752442
COLEC11	3.08303498249047	9.78731532498798	7.57012110486547	1.6079538911393e-06	0.000322593759367878	5.48056603748838	8.04938089026872	8.33314308366545	8.35486952729407	10.8081387783316	12.365393122679	10.8129665476891
C8orf12	-2.56753542856781	7.07668410395958	-7.52188233124498	1.73756772427955e-06	0.000345179752912515	5.40436048988954	8.40696749695036	8.38582723818401	8.28856071959608	5.34099038517148	5.67509683106068	6.36266195279488
COMT	-2.40830188122169	8.72498010111413	-7.49148255141199	1.82484795157816e-06	0.000358998971289595	5.35616548158673	10.0557192518024	9.7828760348974	9.94879783847511	7.46176756769253	7.87363042836129	7.22708948545604
VAT1L	-2.53994710684194	5.2077239113053	-7.46902161783357	1.89228570924565e-06	0.000365606945629017	5.32047155493381	6.27314401020727	6.67741598568414	6.48253239828741	4.45948582878553	3.5338913764783	3.81987386838915
VEGFC	-2.48429730966845	5.51437335543123	-7.46757367572503	1.89672190314961e-06	0.000365606945629017	5.31816806958855	7.08431419739992	6.42333518948518	6.76191664391127	3.9631002186395	4.59478533658405	4.25878854656746
C1orf168	2.40093549944877	8.11774155730128	7.46243096737337	1.91256656154942e-06	0.000365606945629017	5.30998426855087	6.90765112800426	7.15328844935104	6.69088184537539	9.24593647927645	9.61987749034168	9.08881395145886
TRDN	2.29230701120763	5.58598113550025	7.40532227302482	2.09815733456796e-06	0.000397336094115426	5.2188498397	4.405198936765	4.45714197646215	4.45714197646215	6.60469709563976	6.96207869861273	6.62962812905971
FABP7	2.8602769999292	9.36819255085112	7.3854825095991	2.16697852569942e-06	0.000406569313576365	5.18707974235312	8.24547514629948	7.09641604315374	8.47227096320634	11.0438382410328	10.4195082026685	10.9316467087458
BC069683	-2.40743817811325	6.46755619567983	-7.35375661632741	2.28199810222666e-06	0.000424221353627695	5.13615823767986	7.53041239256729	7.81921465352862	7.66419880811347	5.11265803938091	4.97690652779381	5.70194675269491
POTEM	2.30411365421991	11.0901253669063	7.29967321066424	2.4930846212584e-06	0.000459248851641446	5.04901735438241	10.0193954717447	9.9816373011473	9.81317284649703	12.5256054376512	11.9926155686944	12.2083255757032
C1orf51	-2.38250474784059	6.67294480515019	-7.25680184403919	2.67493288173006e-06	0.0004883077926351	4.97964143597283	7.73068767806084	7.90399408320101	7.9579097759496	5.02556948887222	5.63041975008803	5.78908805472943
ARL14	2.32717974312262	7.4400116620892	7.2058484854817	2.90931386975163e-06	0.000526352026274797	4.8968409280612	6.31532538466933	6.55309261057014	5.96084737634419	8.43797817354213	8.85216962424514	8.52065680316425
NXT2	2.67589245153596	7.90884077198627	7.18060414123019	3.03332303249169e-06	0.000543931191215745	4.85567877166351	6.77083625135238	6.20242251453603	6.73942487276646	8.87768971800478	10.001078641088	8.86159263416999
KCNA4	-2.20211932470943	4.96078108483681	-7.15016110621769	3.19028178830839e-06	0.000567058595407833	4.80591682162298	6.03896794055656	5.90738218353449	6.23917211748352	3.81786093332865	3.85802238151996	3.90328095259767
LEF1	2.28506892251176	6.43176044172966	7.05297291383495	3.75091689884607e-06	0.000660911557576678	4.64615166125725	5.45400305021818	5.1988452641141	5.21482962708908	7.65361385048145	7.8800023927264	7.18926846574877
SCT	-2.32629470902294	7.68775560050569	-7.0409506708781	3.82712714209033e-06	0.000667379403280571	4.62629297951343	9.11635049536013	8.68358375849742	8.75277461119392	6.10596920982198	6.65339745921493	6.81445806894576
HIVEP2	-2.1772035623836	8.12398538048399	-7.03684928641439	3.85349603631381e-06	0.000667379403280571	4.61951337455016	9.14035248046943	9.21904071660129	9.27836828795665	7.14721282267748	7.13914813351215	6.81978984168693
MEF2C	-2.14424848397825	9.56286278058534	-6.98259369423311	4.22080746838222e-06	0.000724798489252788	4.52959765344733	10.6433249474208	10.5100497493357	10.7515863709669	8.4898228944251	8.58525309974041	8.39713962162314
HTR2C	2.31257321942761	8.6728340379149	6.9406450315857	4.5298653490752e-06	0.000771333290490006	4.45978304587035	7.74597502902651	7.54155801409871	7.26210924147806	10.1774255825181	9.40389777229337	9.90603858807466
lincRNA:chr5:126371352-126373205_R	2.15591794846936	7.28230200935469	6.93093327330586	4.60474055608372e-06	0.000777548815732703	4.44358322851968	6.21841264930527	6.32551433883331	6.06910211722146	8.55381828312083	8.1819719566308	8.34499271101648
ENST00000456585	2.65301858022013	6.34696108838802	6.9141697259592	4.73704903652601e-06	0.000791679787435242	4.4155881379626	5.2553951553636	4.19201639683792	5.61394384263235	7.43232466776723	7.97613380319871	7.61195266452831
EGFL7	-2.304637568183	11.7828248620631	-6.91049679025875	4.76656635577652e-06	0.000791679787435242	4.40944885344512	12.8331249621198	13.309799346284	12.66250663006	10.8021491168231	10.2606369688723	10.8287321482194
DHRS3	2.12585169158954	12.3283955359708	6.8885638576683	4.94688546498381e-06	0.000814949107129812	4.37274703990424	11.3780823483214	11.197856151021	11.2204705711856	13.227593230455	13.539209762508	13.4071611523336
PCP4L1	-2.17654924893121	8.37728662889213	-6.83221420154105	5.44368464291249e-06	0.000889559531607546	4.27813065214784	9.34078571199323	9.75327774943038	9.30262029864961	7.15156810796278	7.18934689677006	7.52612100854676
TDO2	2.43836117993269	7.90585309649344	6.82577008886086	5.50373859213174e-06	0.000892178040738923	4.26728075436498	6.62529989070687	6.76837745038567	6.66634017848876	9.29005141938629	9.65517123812124	8.42987840187183
SLC6A4	-2.16330529530742	7.24713972128799	-6.80622345608624	5.69017700353261e-06	0.000913911784235153	4.23433304877816	8.17744156076374	8.54026370236631	8.26867184369502	6.05656990170666	6.45487349162	5.98501782757617
DUSP6	2.13752560362568	13.1488642976451	6.80233818887088	5.72801641404848e-06	0.000913911784235153	4.22777739394748	12.0406119971592	12.2186538202977	11.9810386700397	14.2041359400614	13.9826542263698	14.4660911319425
