logFC	AveExpr	t	P.Value	adj.P.Val	B	BC_Hom_120_d25_1	BC_Hom_120_d25_2	BC_WT_d25_1	BC_WT_d25_2	BC_WT_d25_3
RPS4Y2	-5.52386575881156	7.03758578640743	-14.2680585563328	2.62686515496626e-10	3.97313354688647e-07	13.6156330172807	10.3069373345376	10.3968731488512	5.17851793204102	4.80969349280077	4.49590702380662
TMEM236	-5.58584247262189	7.62044683598004	-14.0679361398438	3.21969951632071e-10	4.54514248387273e-07	13.438298096701	11.0522301257785	10.8916745133279	5.88183303823629	5.14638297259935	5.13011352995821
TYW3	-5.28754359592571	5.30520943866167	-13.7350182467829	4.54225188395181e-10	6.01138647766748e-07	13.1365962765157	8.46436658415875	8.49110460827545	3.37047672939256	2.81969283401337	3.38040643746825
LOC643406	5.27554494748468	8.0899952332716	13.5265980256889	5.65493338756767e-10	7.04371849892621e-07	12.9433501509	5.10182073779955	4.74751579176203	9.84955990323303	10.2498815365653	10.5011981969981
SEPHS2	-5.98203569446365	9.73219010163819	-13.4458336145309	6.16081800101926e-10	7.24751784286571e-07	12.8675412996833	13.3560215338676	13.2868015027652	6.87334379603257	8.20488056173427	6.93990311379136
POTED	5.01346734977261	11.1510794108748	13.1643785380956	8.33331841370696e-10	9.28726407422341e-07	12.5992370088596	8.40089330738516	7.88510469463722	13.1085883190049	13.1055962485985	13.255214484748
TNNT1	4.88610566078957	10.9509137325862	12.5898069474722	1.57084599374821e-09	1.66313319588091e-06	12.0309573251473	8.0242369301426	8.01426374208235	12.6031657506336	13.2953729682311	12.8175292718415
TRIM4	4.80502510961418	7.44685070437874	12.3832896726356	1.98453981746452e-09	1.94087721501135e-06	11.8196970428893	4.40454084616228	4.72313043105819	9.26686319677093	9.72297556739807	9.11674348050425
HTR2C	4.86235942888288	7.88417687607556	12.3692811415534	2.016495807804e-09	1.94087721501135e-06	11.8052287397279	5.05493008250241	4.87859235498925	10.1774255825181	9.40389777229337	9.90603858807466
LPPR5	-5.55622369524667	7.5064992308509	-12.1708479008788	2.53263346474406e-09	2.22491747449968e-06	11.5983701504885	10.8653403399525	10.8151265560453	6.11245568746099	4.48789271183719	5.2516808589585
SPON1	-4.52707217024109	6.23435557624866	-12.1702372809099	2.53442214415755e-09	2.22491747449968e-06	11.5977280468447	8.89037333533835	9.01082442144827	4.38516046541788	4.35730414554748	4.52811551349131
MUC15	5.43277149020645	7.07410619335438	12.1392994506494	2.62682110330541e-09	2.22491747449968e-06	11.5651500551816	3.6695965551643	3.95929004329671	9.90666363922623	8.42881204380523	9.40616868527942
CCK	-4.52454566297658	6.47477989097631	-12.0308167756017	2.98002571174604e-09	2.31914721391411e-06	11.4502152933588	9.02569103024283	9.35332354728169	4.78140938175681	4.54798580630832	4.6654896892919
LOC100505876	4.71465913219038	7.18461289953873	12.0195852603554	3.01936513195367e-09	2.31914721391411e-06	11.4382531233527	4.71214217185229	3.99949266859671	9.23762984567126	9.07451540490956	8.89928440666383
lincRNA:chr3:165221024-165290561_R	4.52043046613122	7.81601622935737	11.9950057937569	3.1073871705752e-09	2.31914721391411e-06	11.4120334340749	5.20005326953991	5.00746262981736	9.65217414484915	9.42035665595776	9.80003444662266
LINC00470	4.71545622863139	8.20457386767266	11.9763078462202	3.17616383487646e-09	2.31914721391411e-06	11.3920497666174	5.2243838582767	5.52621640271095	10.4443384026403	9.6906520322109	10.1372786425244
APCDD1	-4.72439839126635	7.98980143771903	-11.8839557630089	3.54030509387248e-09	2.49886534542499e-06	11.2928635817602	10.6304628647093	11.0184180802484	5.93012205703274	6.55254380100894	5.81746038559578
MAGEA1	5.75129706637124	9.25897549862428	11.8103565331653	3.8620781389609e-09	2.63804853524184e-06	11.2132379915446	4.88414999384021	6.73224452376286	11.8642147069644	11.4704408175426	11.3438274510113
PNPLA4	4.32608708608668	9.13566249618297	11.5888854927126	5.03120567605726e-09	3.32924313095351e-06	10.9704854620602	6.48729420653895	6.59272628252298	10.9705462231075	10.7130596555797	10.9146861131657
NUDT19	-4.40513203790752	7.11717604976813	-11.4726507493756	5.78975523902356e-09	3.71509294504012e-06	10.841162557492	9.72077234313646	9.79973820188883	5.5504958473294	5.00083984791376	5.5140340085722
LINC00230A	-4.50558586571449	6.54841374449858	-11.2454134050573	7.64428013217035e-09	4.76081269996198e-06	10.5844431312838	9.37109765787795	9.13243286997659	5.12894693686711	4.86023888352958	4.24935237424166
CASR	-4.76495088067264	7.5727627930304	-11.0412320054122	9.84999837544408e-09	5.95924901714367e-06	10.3492867073604	10.4230322869338	10.4404343559342	6.21172961197556	4.91164327171872	5.87697443858974
MAGEA2B	4.60246736884171	8.92921570676316	10.8944662862087	1.18460436773605e-08	6.9677770796697e-06	10.1775785541462	6.01188303603407	6.32358753488221	11.461545711396	10.4557504351266	10.3933118163769
MAGEA10	4.42556067709885	6.78314251152571	10.808446257114	1.3211029918425e-08	7.56063671682837e-06	10.0758821403033	3.83349126577279	4.42212094476002	8.44316878498548	9.04173460151283	8.17519696059746
EPS8	-3.97294995393082	8.15177178214901	-10.6792170773853	1.55828699074866e-08	8.68334921818495e-06	9.9216137527206	10.4525399898089	10.6185435192061	6.5920123702177	6.47850251448295	6.61726051702941
HOXC9	4.01990975367411	9.23175614825664	10.5447151441706	1.85354534043456e-08	1.00638006624877e-05	9.75912897248445	6.9807604875018	6.65886010460254	10.8429051031657	10.6130460504964	11.0632089955167
lincRNA:chr1:186969952-187183302_F	3.93655346429016	5.7576891876352	10.4721259202121	2.03695169661263e-08	1.07831130439431e-05	9.67061332704268	3.22248664186441	3.56902757625779	7.29708714694885	7.25878363394483	7.4410609391601
FAM149A	-4.21517388507232	5.42112646563023	-10.3090605127735	2.52251812690634e-08	1.27885694587157e-05	9.46963522184242	8.03544162277793	7.86501997056933	3.37047672939256	4.33225857688372	3.50243542852763
ZNF542	3.82501535250537	7.74647066038307	10.3048479994733	2.53657576040642e-08	1.27885694587157e-05	9.46440380663008	5.47278015899168	5.43014273876803	9.30445392318741	9.3367964629567	9.18818001801154
HOXC6	3.76915658123411	9.80284691032886	10.1367745004477	3.17075309106904e-08	1.56141155124155e-05	9.25403524881306	7.50859625501727	7.57410966815951	11.3878102708052	11.1980787625895	11.3456395950727
FAM155A	-4.44566809138828	10.0779084719444	-10.0933785364978	3.3603367814372e-08	1.61716207606665e-05	9.19919441529907	12.7093667383231	12.7812519152317	8.63882656116126	7.46666549152101	8.79343165348513
COX7B2	4.09390844794869	7.31095121115646	9.89948148439969	4.36591492306812e-08	2.05440552213261e-05	8.95149363085081	4.93414875466881	4.77506353010567	9.2987905846527	8.30826129017613	9.23849189617897
GPR101	-3.89009954282666	4.96881705557873	-9.81468663821476	4.90137742902093e-08	2.25623189259822e-05	8.8417841217532	7.49885539591464	7.1068981666348	2.98315613740894	3.5338913764783	3.72128420145696
IGF2	-3.63522883133664	9.73750274711373	-9.74745255746173	5.37508283379941e-08	2.42164636182346e-05	8.75418874980058	11.9682771162296	11.8690029756018	8.25098901466155	8.42379262402901	8.17545200504665
TLX2	4.18002212345047	8.79459667766458	9.7083099019105	5.67290702611036e-08	2.50257929745598e-05	8.70294341756859	6.72452443943607	5.84864236775254	10.6677102189106	9.89101180284125	10.8410945593825
lincRNA:chr5:126371352-126373205_R	3.57787590722806	6.92911062069815	9.53329140170138	7.23405947344553e-08	3.09658961803363e-05	8.47155041329203	4.76481924330617	4.79995090941646	8.55381828312083	8.1819719566308	8.34499271101648
LOC339975	-3.6082070992105	6.13116708217926	-9.5256393372534	7.31189992451861e-08	3.09658961803363e-05	8.46134866317665	8.39163052655605	8.20055215685506	4.91378149322649	4.68454239361556	4.46532884064313
HOXB2	-3.63776206293102	6.92080150313815	-9.44714655107496	8.16332726332874e-08	3.389381466686e-05	8.35628753362209	9.11132312225615	9.09559435953737	5.76406583577649	5.12411980839666	5.50890438972406
LOC440910	3.85032344242883	8.4431119159532	9.31761531880249	9.80486407791283e-08	3.99265378557316e-05	8.18124923644091	5.76157186837135	6.50426383262047	10.4236607667804	9.59310907452384	9.93295403747
MAGEA4	3.78342940739334	6.04063663565621	9.30391743966512	9.99776595616398e-08	3.99439045512778e-05	8.16261701467169	3.62721819055502	3.91393979188538	8.12007378001679	7.23410350030923	7.30784791551462
LOC338817	-3.58428832024714	6.36037853503756	-9.28061546476432	1.03351666040375e-07	3.9960388451713e-05	8.13086714361366	8.78093770186275	8.24096535250895	5.09542978010127	4.70888093412979	4.97567890658507
AK126778	3.53146722480996	5.76452438284915	9.27055507490258	1.04845261958397e-07	3.9960388451713e-05	8.1171384450167	3.72226051966857	3.56902757625779	7.47668017183923	7.0639330455627	6.99072060091748
LOC644554	3.65640376410975	6.89780158095834	9.2649957128974	1.05680366153291e-07	3.9960388451713e-05	8.10954653496277	5.01922811352418	4.3886905314608	8.38803985266086	8.07610394534037	8.6169454618055
B3GALT2	-3.54920954065318	7.26383460930859	-9.19867681137023	1.16201225084216e-07	4.31677358097941e-05	8.01868124981312	9.41981136705115	9.36690930034985	6.0963550305769	5.4711197744584	5.96497757410666
FAM50B	-3.5967988905074	7.85218139560457	-9.15249965344443	1.24175036357566e-07	4.53345930150252e-05	7.95508490134919	9.95557320082928	10.0649482589887	6.73677480809078	5.96971272989624	6.53389798021781
CCDC125	-3.39014198221156	8.69843345256155	-9.0441958492713	1.45225584294363e-07	5.21212160581889e-05	7.80486288934369	10.6872773033844	10.7777599803925	7.19152879804689	7.53062054955316	7.30498063143073
lincRNA:chr2:216585154-216585719_F	3.48296388209825	7.95686980024595	8.89207930520271	1.81357843974782e-07	6.34268960394586e-05	7.59132856745919	5.85622250767575	5.87796043429824	9.63594620586679	8.9068660918615	9.50735376152745
ITIH2	3.3139844402523	8.37847178474876	8.88699726318478	1.82717386465501e-07	6.34268960394586e-05	7.58414293204781	6.32926910061677	6.45089314057799	9.83738644303807	9.60034819727122	9.67446204223975
FAT1	-3.53201694814863	8.25570237139737	-8.79112748140169	2.10479252137762e-07	7.18854542583404e-05	7.44795891379264	10.4443170312904	10.3055080492827	6.66710328788166	7.37541092175828	6.48617256677383
KCNA4	-3.24911608716416	5.15936785734776	-8.57552376807545	2.90441218425889e-07	9.62370438843044e-05	7.13727005440343	7.35017596279618	6.86749905649632	3.81786093332865	3.85802238151996	3.90328095259767
FLJ25758	-3.24877633816201	5.07505433494339	-8.57454455708396	2.90869931928948e-07	9.62370438843044e-05	7.1358449001563	6.78511226614531	7.26352800953588	3.77683413277617	3.82851306480261	3.72128420145696
LOC149837	3.77374454290937	6.46368047162475	8.55895452292078	2.9778592304205e-07	9.7009491083314e-05	7.11313771403444	3.48701025522455	4.9118572365337	8.12924101026669	7.82044037648554	7.96985347961327
OPCML	-4.21538920434065	6.93716355337971	-8.43672468623216	3.58387681234151e-07	0.000114982714395957	6.93397609590284	9.47805484752835	9.45473930443983	5.95285196797827	4.07919400763594	5.72097763931613
LOC440905	3.46447478002646	9.22969199066182	8.41347315743324	3.71317001328398e-07	0.000117352798554162	6.89966631095992	7.10198382020401	7.20003042508789	11.1364624219598	10.0465039093582	10.6634793766992
POTEE	3.0487500560964	12.9453630298472	8.22770897792569	4.94012191772741e-07	0.000153833943540997	6.62291024291875	11.0917854521382	11.1404405402406	14.2092447689174	14.1327389283276	14.1526054596123
TSHZ3	-3.93386000933334	6.03116896159508	-8.08024726703616	6.2154761146313e-07	0.000185560552437882	6.39984056496514	8.53347181526844	8.24949811912174	4.98831423156724	3.35859574115227	5.02596490086572
TUSC1	3.08663047759822	11.7206979020764	8.07567131599929	6.26019879441985e-07	0.000185560552437882	6.39287015280864	9.76974584800866	9.96769338302629	13.0464730711343	12.6498944159072	13.1696827923056
ENST00000456585	3.24135874245594	6.37692688151571	8.07540098946069	6.26285136407648e-07	0.000185560552437882	6.39245828113722	4.81427913436536	4.04994413771894	7.43232466776723	7.97613380319871	7.61195266452831
NEFM	-3.55750898313964	5.77984891034958	-8.07066684410387	6.30949694239787e-07	0.000185560552437882	6.38524365027221	8.05775488141837	7.77095371904836	4.93748032916682	3.55955357338178	4.57350204873258
FGF14	-3.12764514601972	6.85465864932418	-8.05236102147989	6.49332758020414e-07	0.00018835097467236	6.35731699946067	8.83661647230672	8.6258750015653	5.95137025193249	5.26834090602302	5.59109061479335
GLI3	-3.16472766661794	5.64747533251772	-8.04341210805696	6.58523422400343e-07	0.000188435587423341	6.34364788432629	7.65188987591391	7.44073398906305	4.33693893137554	4.79346187028642	4.01435199594968
SLC18A2	-3.23413416269736	7.64970842018426	-7.99621005948278	7.09314889275727e-07	0.000199133813159452	6.27136352341713	9.62705935678493	9.55331847882042	6.76087063250428	5.80508027771716	6.50221335509451
HIVEP2	-2.99980760308661	8.23530664052683	-7.99139842279385	7.14718762697442e-07	0.000199133813159452	6.26397756866563	10.0617338571136	10.008648547644	7.14721282267748	7.13914813351215	6.81978984168693
HOXA7	3.2518013596035	10.6371913932721	7.98253944677648	7.24781563653046e-07	0.000199314930004588	6.2503703889874	8.70141135143311	8.67080980358694	11.4966564669782	12.5069166582723	11.8101626860901
DACH1	-3.44185379956395	8.99168190880558	-7.96203146259255	7.48651662323826e-07	0.000200646835840342	6.21882839513633	11.0556696380702	11.0579187390177	8.25602569076892	6.90284004631806	7.685955429853
FAM110C	-3.24078244268372	6.42111002327315	-7.95799931150425	7.53441220656848e-07	0.000200646835840342	6.21261986587084	8.36005015951043	8.37110881825633	5.65299478545875	4.62114558193093	5.1002507712093
LOC150622	3.08392639185268	7.94282227816365	7.95414318873533	7.58051800105188e-07	0.000200646835840342	6.20668024230561	5.92504078938783	6.25989209671627	9.28269818750864	8.82945701452304	9.4170233026825
TMEM132B	-3.0649494034202	7.40740970873517	-7.90279001127073	8.22358012259465e-07	0.000214980628513508	6.12738117681084	9.18261618548716	9.31014251608742	6.39874512734663	5.78263569620085	6.36290901855378
PRKCDBP	-3.2659185724596	9.62799164947543	-7.88347131913773	8.4801082196779e-07	0.000218983282380097	6.0974533256778	11.6054054653922	11.5696801205101	7.70656304564958	8.43886932000408	8.81944029582111
TNNI3	2.96795309881469	10.105429846108	7.8725931313997	8.62824254706722e-07	0.000220124139679697	6.0805780441561	8.34894767029448	8.3003683033438	11.3621559054398	11.0513167561155	11.4643605953462
ASTN1	-3.84790439082028	6.66684266240135	-7.86458075449756	8.73908791771447e-07	0.000220297841259052	6.06813779703937	8.99474881601276	8.95642177777427	5.75083921957282	4.00572735696518	5.62647614168172
MICA	-3.11087996928404	7.01050548103918	-7.83592928327772	9.14785082205263e-07	0.000227889107243488	6.02357846672977	8.83811052763068	8.91595639758854	5.28758787891495	5.87469997194121	6.13617262912055
GRIN3A	-3.09269279601143	10.8560131351084	-7.81815964770545	9.41141005968477e-07	0.000231728613969564	5.99588442168514	12.6144945966043	12.8087630288262	9.32887564027725	9.43627895076044	10.0916534590738
DMRTC1	-2.98813251666662	9.78060642398076	-7.80039479590189	9.68287872311158e-07	0.000235672364324009	5.96815310968068	11.5438046880443	11.6031671799172	8.91374658790046	8.33219990398473	8.51011376005714
TMEM30B	-2.8772888686755	10.8742626563444	-7.75180934106658	1.04681456085543e-06	0.000251889753705837	5.89208139030636	12.6071034027774	12.594168552322	9.8133529980519	9.69782995084902	9.65885837772164
LCN15	-3.19373930552029	8.30915796919452	-7.73188050179509	1.08093274227679e-06	0.0002571769754799	5.86078112249312	10.2644225652059	10.1863805398075	6.41876926146609	7.5045414368299	7.17167604266323
SST	-3.39768799213625	14.5009579964546	-7.72082093038388	1.10036845944027e-06	0.000257960360037386	5.8433865345257	16.5915788868653	16.4875626966075	13.5290032140871	12.3084751097922	13.5881700749211
DDX3Y	-2.88793394443437	7.20860750448921	-7.71429876178496	1.11200191469125e-06	0.000257960360037386	5.83312023974277	8.87925788246816	9.0034778598315	5.96573768511464	6.23468218462521	5.95988191040654
ENST00000400102	-3.49819406890455	7.96903426863082	-7.7050457556516	1.12872824484603e-06	0.000257960360037386	5.81854502997357	10.0125757429616	10.1233256769855	7.3750849734588	5.77903616068276	6.55514878906544
ENST00000500944	-3.50904170514096	9.23736326819674	-7.70273050976729	1.13295459189974e-06	0.000257960360037386	5.81489617550745	11.3133086553602	11.3722679272025	8.59232644763809	6.98473244732893	7.92418086345403
DLX6	3.16736417802888	7.54681166565274	7.6315796241399	1.27127537359176e-06	0.000286375064210696	5.70238807313603	5.98036135406159	5.31242496360923	8.42033949021066	9.32427271985642	8.69665980052578
CYP4F3	3.19485993324749	6.47748985345757	7.57281182467938	1.39886201882904e-06	0.000311798981565316	5.60891396164465	4.87671519453387	4.24443259248428	8.25958833518077	7.20558546803694	7.80112767705199
GLYATL3	2.8294227774204	9.63571442315552	7.41692295842664	1.80676144766957e-06	0.000398522642233366	5.3585530192833	7.98813487993488	7.88798663347168	10.8834454177793	10.4529914954489	10.9660136891427
TCN1	4.87255937738736	8.2243920333361	7.40414952695894	1.84530356230743e-06	0.000402827865276905	5.33788289905701	5.49989842564084	5.10181438816651	9.31460115530939	12.0693784691526	9.13626772841117
HOXA9	2.85447695179529	9.68075435809482	7.39137897901848	1.8846994181305e-06	0.000407229695703197	5.3171938005496	7.96089360334567	7.97524277068962	10.9476174239617	10.443613773263	11.076404219214
FGL1	3.43061743543422	8.07498620489348	7.36787229197985	1.95953754655428e-06	0.000417109319022686	5.27904962017844	5.94069160123641	6.09253988602948	9.10108034744666	10.4224052983619	8.81821389139293
SMC2	-2.7391562129684	9.43551620623324	-7.36471637714805	1.96981968841883e-06	0.000417109319022686	5.27392242639764	11.0580686725258	11.0999511955027	8.45996671286197	8.30044193187835	8.25915251839731
H2BFWT	3.48888061391749	6.03797893845989	7.31558958959677	2.13737797664406e-06	0.000448108699558791	5.19392296147756	3.93001109692208	3.95929004329671	8.09624862225979	6.38941422503039	7.81493070479049
lincRNA:chr14:92224252-92224737_R	-2.86378097206313	4.93007179479097	-7.29888165029013	2.19771379429015e-06	0.000456241074451901	5.16663528112177	6.76375619924044	6.53292455681726	4.21439203396556	3.63685075540397	3.50243542852763
lincRNA:chr2:216484829-216487449_F	2.91223291395847	7.96845150863066	7.27717640263131	2.27877277209361e-06	0.000467331233169206	5.13112520826683	5.94942798380382	6.49279553670733	8.8301639383749	9.55169258971853	9.01817749454871
KCNK2	2.95529493414931	6.08725677659768	7.27285676501585	2.29527500588418e-06	0.000467331233169206	5.12405003419543	4.16868435710436	4.45947527511183	7.69611363056679	6.73627127768172	7.3757393425237
MCOLN3	-2.88752803835064	6.32969447574112	-7.25424075383716	2.36783894125451e-06	0.000477514186486326	5.09352757631536	8.12182876372757	8.00259383377545	5.54554296314787	4.68698133668842	5.29152548136631
SMEK3P	2.9164839958499	5.6916080992558	7.23192267562903	2.45801289248526e-06	0.000486221047445877	5.05686865134938	3.83349126577279	4.04994413771894	7.30858987977589	6.90335326021652	6.36266195279488
COMT	-2.79453135191284	8.63864170126842	-7.22887419414279	2.47060641193881e-06	0.000486221047445877	5.05185567536963	10.4022860325271	10.2284349923051	7.46176756769253	7.87363042836129	7.22708948545604
LOC100509175	3.2974122672219	6.80544810322608	7.22663504485436	2.479899557221e-06	0.000486221047445877	5.04817271509479	4.46591184371232	5.18808964207357	8.52566366316177	7.28495518086272	8.56262018632004
lincRNA:chr14:92220122-92237072_R	-2.70131246581572	5.17020564651528	-7.20275058405022	2.58133643728602e-06	0.00050146604641772	5.00884191362812	6.7450244199283	6.83696183208112	4.08527770373839	4.26819149460566	3.91557278222291
IRX2	-5.30363162535006	11.0398456504019	-7.18533231139104	2.65804600845365e-06	0.000511673856627328	4.98010649717964	14.2757655171735	14.1682837340503	10.0505322021947	6.67449671288777	10.0301500857031
ITM2A	-2.73472079389091	5.15341477435315	-7.16294414692657	2.76016480496242e-06	0.000526544952658372	4.94310695829877	6.95990745749944	6.62858704387595	4.27951149436526	4.07919400763594	3.81987386838915
LARGE	-2.89535148635416	8.9344008955235	-7.14192408602906	2.85978627173898e-06	0.00054067834200065	4.90830165210298	10.6725446816686	10.6706788930034	8.03759605745273	7.19656435973272	8.09462048576005
PRKAR2B	-2.75881300176919	8.60291413527393	-7.13604383459328	2.88832360520039e-06	0.000541241171151489	4.89855347370046	10.2612988335775	10.2551050390934	7.80447264392502	7.13464896326956	7.55904519650417
BC069683	-2.80319949163115	6.38511690327567	-7.1119457695982	3.00842493660451e-06	0.000558801737128075	4.85855122166604	7.92237663786909	8.21169655863962	5.11265803938091	4.97690652779381	5.70194675269491
MAGEA6	2.64537803366546	11.4021355632476	7.09383606821426	3.10211589622064e-06	0.000571193948717149	4.82843352336864	9.72426279233854	9.90555469375802	12.5413242158543	12.3467851113988	12.4927510028882
SLC30A8	-2.72691674819275	9.25170178490054	-7.08143857748714	3.16801215084788e-06	0.00057829876977762	4.80778790939628	10.8971004077889	10.8786032598435	8.07259935833125	7.89203293615241	8.51817296238664
SKAP1	-2.6962764785086	6.83076165900401	-7.05467386632863	3.31532047838706e-06	0.000600016334443129	4.76313961650945	8.52325617710278	8.37379891511555	5.49569701115997	6.04935785049561	5.71169834114612
C6orf192	-2.69321977123631	7.70111905252978	-7.01936285473113	3.5207173147733e-06	0.000631789738477326	4.704073743081	9.47426537535808	9.15983645518505	6.88244594112325	6.35620414247102	6.6328433485115
MAOA	2.62244125822177	11.1457078204747	6.99484722112865	3.67112105369831e-06	0.000653243599261022	4.66295796207354	9.63436639033248	9.51011974075075	12.1896291295028	12.365854956018	12.0285688857694
LOXL4	-2.78255430609476	8.95126458809658	-6.97533164174713	3.79564983504644e-06	0.000669774043809236	4.6301647723946	10.6410746017395	10.6005197417673	8.12680127903246	8.07028326240319	7.31764405554038
TMEM132D	-2.86388106491712	6.55487179612405	-6.94727803373041	3.9824563046485e-06	0.000696929853313487	4.58292654954356	8.1728331720872	8.37356769806145	5.27149201269339	6.00764541431812	4.9488206834601
XKR6	-2.64029204821362	6.3244594552539	-6.93845150022899	4.04320099964226e-06	0.000701760501372335	4.56804001110937	7.97870578604154	7.8385635823226	5.53908592663253	5.02441925414889	5.24152272712392
C5orf38	-2.65883864018032	6.02328682610091	-6.87516050753642	4.50817910114172e-06	0.000776103190785982	4.46095980642017	7.76709591983028	7.47008410058793	5.28708138408692	4.91164327171872	4.6805294542807
SEMA3C	-2.61742752347202	5.04420793110994	-6.87001454749994	4.54836568346555e-06	0.000776706801188573	4.45222759402966	6.65709285393377	6.57223603645254	4.30452379794828	3.79547156362521	3.89171540358991
PPP1R14C	-2.56901232310912	6.77191647258542	-6.85746425350126	4.64795410764656e-06	0.000787363425835327	4.43091457510829	8.29253063053583	8.33411710236595	5.66979287990244	5.94211375205092	5.62102799807197
C1orf168	2.62117709718513	8.26973846815161	6.84003084270458	4.79008954371076e-06	0.000805001159429169	4.40127053115602	6.82440042724876	6.56966399243232	9.24593647927645	9.61987749034168	9.08881395145886
TTTY15	-2.74839265515075	4.67427073222663	-6.82122102884827	4.9485552238852e-06	0.000825083912328891	4.36923584705608	5.87346320845786	6.77314944217629	3.53722386582556	3.41822073512892	3.7692964095445
PLXDC2	-2.87865021345647	4.76819129707358	-6.81097030523372	5.0372119339745e-06	0.000828899447897411	4.35175607833123	6.63870571981127	6.35205713048366	4.01292633638268	2.9216945164674	3.91557278222291
DPP7	-2.61533111798297	8.8856182748502	-6.80953816731171	5.04972981245648e-06	0.000828899447897411	4.34931273213912	10.5210846053954	10.3885492858846	8.1647488444261	7.56280556647416	7.79090307207079
lincRNA:chr1:187371202-187450127_F	2.85300362830958	5.38039656212428	6.79773129687542	5.15417749240595e-06	0.000839536218474585	4.32915772268015	3.28724463255812	4.04994413771894	6.96311147556643	6.03520892405266	6.56647364072523
ENST00000390237	2.75853492608548	6.66318076044791	6.78212845551935	5.29568128125952e-06	0.00085600039031046	4.30249128397607	5.2949774117122	4.72114219788105	8.05172297625393	7.27820773677911	7.96985347961327
LY6H	-3.45819836785999	7.63763896071399	-6.77738574997862	5.33949356735237e-06	0.000856543759762776	4.29437853606303	9.85283721702273	9.57227874583723	7.09276534241329	5.06323595442678	6.6070775438699
KLK12	-2.61656167511427	6.24994967395806	-6.76945027713435	5.4136493681585e-06	0.000861390247214314	4.28079691635266	7.98474121696615	7.6550321410871	4.8830663676288	5.26252168154487	5.4643869625634
CBFA2T3	-2.53732331493901	8.12111387495798	-6.76548945465383	5.45106461047075e-06	0.000861390247214314	4.27401447039639	9.71981752348106	9.56719820436172	7.03657056945293	6.98686249866263	7.29512057883155
LOC145837	-2.53084644053968	9.29965660804705	-6.73727133638572	5.72556732604131e-06	0.000891904837316304	4.22562738052496	10.9628772055604	10.6734517391813	8.26385966174533	8.17216347156581	8.42593096218241
IRX1	-5.92053273148891	11.8318833765393	-6.7369866818175	5.72840887249197e-06	0.000891904837316304	4.2251386710018	15.4766179756996	15.2917880551656	11.0851083660055	6.67621991283826	10.6296825729873
SDPR	2.52258932586468	7.42805545642587	6.71668228734	5.93494637229254e-06	0.000917317441118939	4.19024826893472	5.98036135406159	5.84864236775254	8.46476769148203	8.60213834202068	8.24436752681253
