logFC	AveExpr	t	P.Value	adj.P.Val	B	PP2_Het_82_d14_1	PP2_Het_82_d14_2	PP2_Het_374_d14_1	PP2_Het_374_d14_2	PP2_WT_d14_1	PP2_WT_d14_2
ZFP42	-3.86995691555852	11.7407532030898	-22.0291205056082	1.8533323709476e-07	0.000328777462688749	8.02839178662738	12.9047043172173	13.0762031472973	13.0320772372194	13.1099706647033	8.88998435929504	9.43157949280654
SEMA3A	-3.81125498401415	9.02218474136139	-22.0137115134374	1.86186232076803e-07	0.000328777462688749	8.02451910817107	10.4321011514132	10.5092411648017	10.1787742927137	10.0502956685358	6.36960058599565	6.59309558470826
RSPO3	-4.13774352207502	8.37019273507978	-22.0050802303299	1.8666600390816e-07	0.000328777462688749	8.02234806942432	9.64417175848166	9.6190736398158	9.83952891244856	9.89498799233979	5.3348111638018	5.88858294359107
NOL4	-2.91685995405442	10.4152589057435	-21.6088312926922	2.10301197235197e-07	0.000328777462688749	7.92129025151279	11.4086092793497	11.3339668865109	11.4394909144688	11.3681151480507	8.30857427700124	8.63279692907995
CYP4Z1	-3.40347939584332	7.24938194900651	-21.6060703525535	2.10477534213911e-07	0.000328777462688749	7.92057645981243	8.33797310198601	8.21408499321264	8.5259986124082	8.45744361621028	4.80605443300776	5.15473693721416
C11orf96	-5.78024930709537	9.70378146230792	-21.4458767817774	2.21005812598114e-07	0.000328777462688749	7.87892873383546	11.4539112893672	11.3367480735536	11.4752434719918	12.2562220904462	5.78778359954525	5.91278024894343
GDF6	-4.70787030564068	7.67872655541845	-21.430747871717	2.2203100896806e-07	0.000328777462688749	7.87497170839135	9.12155207858456	9.10028286702934	9.03923343375527	9.73099824982553	4.46846095500011	4.61183174831589
PRDM1	-4.40389432062405	9.52671456994859	-21.2226054204816	2.36705024029632e-07	0.000335266937731015	7.82011023237162	10.793706832694	10.9026281025611	11.3085533569869	10.9738290817178	6.33475028465711	6.84681976107467
FLJ22447	-2.9262258002115	5.8911196534826	-20.598350679489	2.87863727522002e-07	0.000354467475017707	7.6507412310543	6.95407058632391	6.74022525519618	6.74762833614014	7.02418883655217	4.0230739117493	3.8575309949339
HLA-DRB5	-3.28056172491074	11.3898097534675	-20.4477692558607	3.02037310283523e-07	0.000354467475017707	7.60876894195883	12.3061519665333	12.3927999568346	12.5529528752226	12.6814165151607	9.0580915402008	9.3474456668533
LOC645431	-3.52326471280613	8.23301430695174	-20.2940350812932	3.17340899220248e-07	0.000354467475017707	7.56545689057427	9.19493027380695	9.26280355253301	9.48195417401219	9.69005551119632	5.80352914545071	5.96481318471126
AKAP12	-2.41888639595806	8.68477039450765	-20.2442511029353	3.22486197421845e-07	0.000354467475017707	7.55133014720074	9.52852256516985	9.4568818184186	9.57835272642993	9.40050632928963	7.01912203075791	7.12523689697998
GSTA2	-3.05901428759091	10.1787542001368	-20.1427930051308	3.33271612877684e-07	0.000354467475017707	7.52238599406399	11.3197925028999	11.2746555253539	11.1919858823676	11.0072686067138	7.98989259129346	8.28893009219233
HLA-DPB2	-2.55534349260352	9.57079425789364	-20.0994336160097	3.38006826267764e-07	0.000354467475017707	7.50995281513645	10.4524617926505	10.3574576484589	10.5265925901797	10.3537896570901	7.96734411662115	7.76711974236143
IGFBP3	-4.76830060620439	13.7072861921712	-19.9913585541322	3.50149654458038e-07	0.000354467475017707	7.47879569851719	15.4485059645471	15.035569304055	15.4246819550469	15.2781216866419	10.145375421571	10.9114628211657
NKX6-1	4.50407028080714	8.58200029974645	19.9718740274656	3.52391758445112e-07	0.000354467475017707	7.47315299306446	6.97005346883798	6.72607091116123	7.49566873900148	7.13078103890895	11.7175298948901	11.451897745679
PIGZ	-2.86925159661097	11.5196824486733	-19.8767583272987	3.63576288128034e-07	0.000354467475017707	7.44549500892303	12.4207419815776	12.2858560081495	12.5379255444815	12.6598750559659	9.55551507234155	9.65818102952377
AFP	-2.95099524318555	17.1796200909962	-19.837045414928	3.68366317186355e-07	0.000354467475017707	7.43389163524483	18.1609460823264	17.9892178040905	18.364552265256	18.1384245365592	15.1070799043225	15.3174999534224
MEP1A	-3.54665958853699	7.76041804588008	-19.7946496945636	3.73560100704354e-07	0.000354467475017707	7.4214680768225	8.98091335460109	8.89304328960569	9.05099509398541	8.8455998967108	5.115974801727	5.6759818386505
MYOF	-2.5575660799499	10.7196600730054	-19.7282098695601	3.8186955313794e-07	0.000354467475017707	7.40192288469313	11.4635928828369	11.4829427727021	11.6677494203777	11.674443322705	8.95511878374271	9.07411325566831
FGB	-5.23476176701529	14.0206550348454	-19.4491547692963	4.19169015711451e-07	0.000354467475017707	7.3188076432534	15.6590809827419	15.7370222937184	16.1171288668948	15.5490703520468	10.1086152066238	10.9530125070465
KCTD12	-3.45773618345052	13.0061794523779	-19.4261968134987	4.22419563837943e-07	0.000354467475017707	7.31189527807256	14.2367269231872	14.0689072177034	14.325819898213	14.0035786816751	10.4643640906707	10.9376799028176
HLA-DRB4	-2.7639469059219	9.19880905085087	-19.356307372412	4.32494604162082e-07	0.000354467475017707	7.29078190118045	10.060022454709	9.98857310978746	10.1702292892051	10.2616738909311	7.22446980051186	7.48788575996067
EFNB2	-3.5533466111793	13.9077029885419	-19.330586605587	4.36271679227546e-07	0.000354467475017707	7.28298491885579	15.0640979149333	14.9865199458046	15.2315558860215	15.0864336889807	11.2512170359138	11.8263934595977
DLX5	-6.81892975287009	9.4058936639351	-19.32437567135	4.3718941850242e-07	0.000354467475017707	7.28109996878611	11.9356984094662	11.0733875383015	11.4918520782949	12.2145429668379	4.50938607760599	5.2104949131041
WNT6	-5.15269175813039	10.0691015831107	-19.1636511590735	4.61727257839449e-07	0.000354467475017707	7.23202644113923	12.0271528225186	11.360570282045	11.5519793755667	12.2069595298197	6.45134209362885	6.81660539508536
FAM162B	-2.80005840712145	11.4170663489931	-18.8923861276039	5.06818787018887e-07	0.000354467475017707	7.14789327561332	12.1179662251426	12.4142050355652	12.5128689380267	12.3566364067332	9.48875989955363	9.61196158893729
CD3G	-2.43475399680116	6.37892409645092	-18.7445945829438	5.33503753018038e-07	0.000354467475017707	7.1013507871982	7.20438121705549	7.23518899793712	7.17187641752701	7.15058841568561	4.90216647839025	4.60934305211005
FBN1	-3.50166278052166	7.82682193247168	-18.6885443545654	5.44043345258373e-07	0.000354467475017707	7.08356741426422	8.72872778409401	8.84284633145263	9.31137385323964	9.09322346846264	5.54088309470922	5.44387706287193
SPHKAP	-3.82714888686407	7.74949007906442	-18.6738889540177	5.46838412204153e-07	0.000354467475017707	7.07890555070566	9.16609771164484	9.19803751638134	8.98168502509348	8.75500524562343	4.92885778139594	5.46725719424747
NRP2	-2.66114621123798	7.7231065784284	-18.5889251964334	5.63371204483353e-07	0.000354467475017707	7.05177966330119	8.708686811001	8.48365153437855	8.68445394634275	8.56382897030859	5.79784074042638	6.1001774681131
COL22A1	3.74944072823443	7.50968000733349	18.512244856659	5.78786375648213e-07	0.000354467475017707	7.02715250944098	6.44995967336396	6.01390118150711	6.33325674026413	6.2423481298862	9.72775487947251	10.290859439507
ODZ1	-2.8576601890587	8.31699783032573	-18.4394877841466	5.93862082714852e-07	0.000354467475017707	7.00365643192238	9.34650363749201	9.02889493856003	9.47610407585035	9.22670225481213	6.38070684486004	6.44307523037982
CFTR	-4.18706701047667	11.4878509387366	-18.3844500478226	6.05566048581848e-07	0.000354467475017707	6.98579863228529	12.711736328193	12.6809814557498	13.0424251274055	13.099016857567	8.36881368426115	9.02413217924321
SOX17	-5.65931967241369	11.1894405848747	-18.3819271375586	6.06108868696777e-07	0.000354467475017707	6.98497829561614	12.8556629008812	12.8380918165332	13.2319597074847	13.377807477818	6.90840772719541	7.9247138793358
CAPN2	-4.08391267668832	14.1786355801334	-18.3573410642766	6.11428065717839e-07	0.000354467475017707	6.97697599851003	15.2489239688589	15.2888586420512	15.7651593698864	15.8568172419881	11.3199901701207	11.5920640878949
IGFBP6	-3.48941939974712	11.0815782190116	-18.352207986752	6.12545357536569e-07	0.000354467475017707	6.97530344348856	12.2008659339007	12.0360438141652	12.2468765683657	12.4950857592774	8.52121932094691	8.98937791741339
RBP4	-4.35217676508146	9.72098418523562	-18.3470176062422	6.13677506020092e-07	0.000354467475017707	6.97361157117753	11.0546160546255	11.0129247627125	11.4439871841018	11.1753110929446	6.44347464597439	7.1955913710549
GLI1	-2.70068090947516	9.03123582790815	-18.32667625022	6.18137665705973e-07	0.000354467475017707	6.96697477508178	9.96394769718786	9.68203643371551	10.0126050613184	10.0672619987111	7.20242608432506	7.25913769219103
DCX	2.3548217905633	12.8166949895497	18.2615074227789	6.32679542660486e-07	0.000354467475017707	6.9456446400358	11.934443164863	12.0591409198808	12.1006691215885	12.0327643644488	14.50879659862	14.2643557678971
NDRG1	-2.27599427296859	12.5176748658238	-18.2392766094937	6.37729706836152e-07	0.000354467475017707	6.93834477025882	13.3328891237465	13.1860521153225	13.4016833451658	13.1847339096853	10.9961664114402	11.0045242895826
SLC1A1	-3.77133968219356	12.4357381526893	-18.2345948078998	6.38799159446919e-07	0.000354467475017707	6.93680588533414	13.5792320353803	13.5458691988635	13.7870317166069	13.859272569498	9.60110145412551	10.2419219416617
HLA-DPB1	-2.79890443156092	11.9618219741575	-18.2081032451136	6.4488948598786e-07	0.000354467475017707	6.92808816234282	12.9545956832428	12.7714800731555	12.977681600506	12.8754031151403	9.89486885175464	10.2969025211459
STAT4	2.58716828978971	9.28643351529555	18.1930843796661	6.48371870281299e-07	0.000354467475017707	6.92313820258002	8.27755806433798	8.63164316733061	8.42939925049011	8.35757585930392	10.9492644278278	11.073160322483
LOC100131366	2.33365825970019	9.03026859622591	18.1337941597382	6.62331773134917e-07	0.000354467475017707	6.90354313469993	8.41651442535972	8.14342374897289	8.23593257782201	8.21365928648209	10.543184537161	10.6288970015577
SLC7A2	-2.00769149139086	13.2763834942226	-18.1279111813431	6.63735640976152e-07	0.000354467475017707	6.90159413036256	13.9137671871403	13.9776416042397	13.9223279337743	13.9687192402573	11.8985631429897	11.9772818569344
HAS2	-3.33555949007761	6.41774685445217	-18.081418317227	6.74951296610442e-07	0.000354643361123845	6.88616119706363	7.75350900545259	7.3770462852793	7.27934477180979	7.70850000870381	4.0697037392941	4.31837731617342
EMX2	-3.14793970055793	7.34278275150866	-17.9745260416635	7.01572333188119e-07	0.000361447107874546	6.85047570550771	8.54322925264733	8.38865194287066	8.30084414476146	8.33565859983244	4.98449567985444	5.50381688908564
LAMA3	-2.76533035694968	8.01382845709811	-17.9413032395798	7.10090398255548e-07	0.000361447107874546	6.83932629689779	9.07914658524378	9.05992006357642	8.7713834773465	8.8319708448253	6.0394935993363	6.30105617226034
SYTL2	-2.67590402510782	8.66453930296007	-17.8624540011699	7.3078622351614e-07	0.000363749624549737	6.81275371112343	9.67212765322995	9.57297220524248	9.58473288944778	9.39619649739718	6.71297970294758	7.04822686949548
PODXL	-2.89129494330455	15.0436531002887	-17.83583789521	7.37927917224993e-07	0.000363749624549737	6.80374847051911	15.9187246375175	15.8752794683622	16.0498748874214	16.1857933322599	12.9272339687794	13.305012307392
APOA2	-2.16506985378724	12.7589639997977	-17.7109530223617	7.72525499847453e-07	0.000363749624549737	6.76125414530336	13.5982462984674	13.3628957250714	13.4782016657494	13.4832721149523	11.3489111843012	11.2822570102446
NPR3	-4.3424135102533	7.25939307051658	-17.7095907951697	7.72913018832321e-07	0.000363749624549737	6.76078842073126	8.5153625365136	8.27211440636185	8.96897707271323	9.07100294681539	4.32538665199186	4.40351480870357
CSGALNACT1	-2.9239099457349	9.05268334216777	-17.7084239501971	7.73245133959575e-07	0.000363749624549737	6.76038945638761	10.175194841433	10.1342907172192	9.93374354581222	9.86605085851989	6.9150637231547	7.29175636686765
FGG	-5.14712110400639	11.1936738906815	-17.650025689822	7.90077997899123e-07	0.000363749624549737	6.7403772566592	12.8983824052828	13.0954647897729	12.9164179930568	12.7272585132889	7.22247015722393	8.30204948546395
FGA	-3.37706189985995	8.31237215881666	-17.61385503585	8.00714765445777e-07	0.000363749624549737	6.72793789121515	9.66424923851723	9.354364116082	9.48721869241485	9.24640578806582	5.8101889872598	6.31180613056025
H19	3.15093086515287	14.4053910065479	17.6029943598299	8.03940601270253e-07	0.000363749624549737	6.7241961927716	13.0041521522877	13.5611945265789	13.4097361459288	13.4452400478591	16.4581156530795	16.5539075135535
PLN	-2.36983256173438	6.14198967944912	-17.507589259048	8.32927975390311e-07	0.000371702666497126	6.69119520631861	6.91188693860084	7.04959232815059	6.97564312282138	6.79061307720285	4.45319230859019	4.67101030132887
AVPR1A	-3.78366841014627	7.29411573793835	-17.4260973860961	8.58640850667906e-07	0.000377999229624438	6.66281764738277	8.77177644612954	8.29116684578818	8.69548545132226	8.46292542204178	4.47988801749558	5.06345224485275
FBLN2	-2.93503004242047	8.87046484612041	-17.3321078858422	8.89435810170327e-07	0.000380621530007277	6.62986957930632	9.66455914852414	9.76972325500722	9.86884878210508	10.0921015887392	6.75292776317191	7.07462853917496
TTYH1	2.7747667248394	14.6574471219642	17.2449521569737	9.19129095897065e-07	0.000380621530007277	6.59910601450095	13.4477429254764	13.7221079366629	13.9069054305377	13.8533432287272	16.5253217235152	16.4892614868657
PRRT2	-3.15324419141603	12.8432925363923	-17.23253745008	9.23450576795331e-07	0.000380621530007277	6.59470732768032	14.1346886547981	13.5994721515193	14.0734278384956	13.769907089311	10.7108563112259	10.771403173004
A_33_P3255824	-3.07495945283461	7.04777317260766	-17.2285741552093	9.24835081432875e-07	0.000380621530007277	6.59330220561041	7.91823978950835	7.8868119379466	8.11602780459252	8.36995909549598	4.87321988293744	5.12238052516506
SLC43A1	2.0670988439619	8.63257870128723	17.200800672575	9.34604352359699e-07	0.000380621530007277	6.58344364152198	7.95867128388717	7.84185015044513	7.94512450281358	8.02853707605383	9.94864347022138	10.0726457243023
GPC5	-4.13050929803209	8.799728070648	-17.1633448914508	9.47967495346055e-07	0.000380621530007277	6.57011508318553	10.1386978728679	10.0009740750151	10.4099601962264	10.156625869192	5.64396646384383	6.44814394674272
LEF1	-4.09771764848009	9.88523968551606	-17.1209087289215	9.63373209433332e-07	0.000380621530007277	6.55496811460845	11.5193985572986	10.8979652724239	11.1164745065393	11.4707439371093	6.88713290846355	7.41972293126179
SLC7A11	-2.57138205815374	11.3892033613268	-17.0719919709982	9.814893013305e-07	0.000380621530007277	6.53744688496005	12.3738583777059	11.9782724538601	12.327675706516	12.3055163180971	9.68629552297003	9.66360178881199
DLX6	-4.81337743620536	8.0859230995166	-17.027778457566	9.98200601287966e-07	0.000380621530007277	6.52155371044539	9.93456875654748	9.20050433985216	9.60648931863807	10.0199665646358	4.56881921811438	5.18519039931168
FUT8	-2.54151249155877	10.8385127869638	-16.9698860910256	1.02057810291438e-06	0.000380621530007277	6.50066182895311	11.7918633552408	11.516699775908	11.573349736039	11.8608216027457	9.0632309673415	9.22511128450776
LEPREL1	-2.22349140835226	12.6453640960392	-16.9198438881834	1.04038601821217e-06	0.000380621530007277	6.48252786449714	13.2318429905503	13.3750218381353	13.4005536652751	13.5386931013324	11.1235769307489	11.2024960501931
ITLN2	-3.65146707403019	9.78494080664796	-16.9135763314418	1.04289781701688e-06	0.000380621530007277	6.48025174768671	10.9382438424044	10.7989894862399	10.9391396501881	11.332013013133	7.07476170921549	7.62649713870684
ANXA1	-5.36788220630154	11.0648174237965	-16.8809156257294	1.05610013673825e-06	0.000380621530007277	6.4683729500244	12.4547434528889	12.564657137924	12.9837384201552	13.4133069592865	7.15437217421193	7.8180863983123
LOC283454	2.94257318194867	9.85592229891896	16.8772790845195	1.05758195293721e-06	0.000380621530007277	6.46704847997447	9.01653446842011	8.64798160339085	8.92948535839876	8.90625685620123	11.6040066454834	12.0312688616194
CD55	-3.53684754371776	10.6269926611905	-16.8234700656418	1.07978925587955e-06	0.000380621530007277	6.44740717974523	12.0763911154819	11.4639437360375	11.9446378536136	11.7387946645859	8.07525600206921	8.46293259535475
RFX6	-2.18049298300235	12.2683972999475	-16.7985710656319	1.09024598580801e-06	0.000380621530007277	6.43829095801657	13.1142052131897	13.0681057105744	12.9631571710191	12.8354450823433	10.8343884398619	10.7950821826967
TYRP1	-3.60205762047521	8.30258091977859	-16.7415958845451	1.11461375026419e-06	0.000380621530007277	6.41736468583856	9.82824011557449	9.3880479585611	9.40019433193733	9.39658476700838	5.61254332061635	6.18987502497389
GFRA3	3.01387460643169	9.67916649492846	16.7360005086376	1.11704036122574e-06	0.000380621530007277	6.41530460063519	8.75818269025813	8.93310284113125	8.61648869276459	8.39039228031762	11.5726085187695	11.8042239463297
WNT5A	-3.55215777335007	9.78644533757505	-16.6946912169497	1.13514420191103e-06	0.000380621530007277	6.40006786834957	10.9112140095562	10.7425341812077	11.039467444834	11.1887760791691	7.1096141469911	7.72706616369224
TFAP2B	-5.83622118654558	8.27258016405508	-16.681755069889	1.14088253643259e-06	0.000380621530007277	6.39528640622814	10.2158156195063	9.6066512447103	10.0677307274467	10.9817513132845	4.41247301703936	4.35105906234336
lincRNA:chr6:33098514-33107504_F	-2.75988290261531	6.29665883093415	-16.6793794280794	1.14193995909938e-06	0.000380621530007277	6.39440780005678	7.15717455414671	6.99047778998152	7.41897370663518	7.29985314312693	4.31979466083132	4.59367913088324
EPSTI1	-2.27708987211557	7.94390212192278	-16.6658074085842	1.1480026122068e-06	0.000380621530007277	6.38938522903661	8.83509573853476	8.77724994484719	8.62705292215574	8.57232971164084	6.51833273654783	6.33335167781031
GABRP	-4.97742626796781	10.8512524002848	-16.5954772044813	1.18001700801006e-06	0.000380621530007277	6.363273430823	12.1150191767534	12.1943450648482	12.5831093203179	13.14910439651	7.42166965618774	7.64426678709136
MXRA5	-2.38086283750199	6.71888145557308	-16.5946382986372	1.18040501372775e-06	0.000380621530007277	6.36296110567133	7.40238249991169	7.69523058584698	7.38465563552801	7.56774088434163	5.21814764056184	5.04513148724834
GPR64	-3.12677142956478	10.0163560399752	-16.5722006457565	1.19083726090927e-06	0.000380621530007277	6.35459999731176	11.2092291916369	10.9680231220468	11.1160596507038	10.9411407682665	7.64474278445749	8.21894072273995
COL14A1	-2.44300386476484	7.93260027628449	-16.5046276055487	1.22289970391814e-06	0.000380621530007277	6.3293314648927	8.99457121214765	8.72345135727304	8.6451712656557	8.62454575641467	6.25698385595802	6.35087821025783
S100A10	-2.41445343742796	16.4018418455511	-16.499657814122	1.22529663757372e-06	0.000380621530007277	6.32746778998327	17.1015248627213	17.0528936934279	17.3725376029679	17.2996824729913	14.8826435858212	14.7017688553771
PDE6A	-3.35385324373983	7.58395105215895	-16.4698121874226	1.23980510256473e-06	0.000380621530007277	6.31626047035998	8.75316343817215	8.42496105605314	9.03310854060281	8.59637549879414	5.16823988868661	5.52785789064484
MME	-2.50976907547284	7.27592345237261	-16.4462738850451	1.25138658440241e-06	0.000380621530007277	6.3074032027143	8.16303058981995	8.04470039869137	7.90281472996799	8.33950685830825	5.6269717764497	5.5785163609984
TBX2	3.34046939205162	8.93573722613421	16.4192835761997	1.26481961193928e-06	0.000380621530007277	6.29722693609875	7.60956006824763	7.56218308516208	7.92863991131686	8.18860665040811	11.2162563601496	11.109177281521
NFE2L3	1.86645202643053	10.916773867924	16.4183355963059	1.265294418546e-06	0.000380621530007277	6.29686912550156	10.2698810843957	10.380090813654	10.2606422490807	10.2678786226581	12.1275334760003	12.194616961755
LEFTY1	2.92844959017463	8.65356042505231	16.4076347598699	1.27066826224096e-06	0.000380621530007277	6.29282830717394	7.46929947295974	7.75685946982383	7.95526016425183	7.52822313960765	10.4821352927891	10.7295850108817
FGFBP1	-2.96114191965201	7.1544631514093	-16.3678550443759	1.2908760961639e-06	0.000380621530007277	6.27777715264463	8.15410849113584	7.93428954228503	8.1920146912712	8.28562910714779	4.93438806219984	5.42634901441607
KCNJ8	-4.31315656727651	11.5750140844574	-16.3633265537532	1.29319982848383e-06	0.000380621530007277	6.27606077231207	12.8617566600623	12.7785445412523	13.279990344224	13.1306402153265	8.28130264053806	9.11785010534143
RNASE1	-3.11902756925314	11.4648136745699	-16.3474325852639	1.3013936632689e-06	0.000380621530007277	6.27003185548932	12.8435193167345	12.5698406927183	12.3058298277591	12.2987682867384	9.28807027323345	9.48285365023543
lincRNA:chr11:2017309-2017421_F	2.36085108829227	7.72653051025889	16.3390306321324	1.30574918826839e-06	0.000380621530007277	6.26684178742037	6.75139937336978	7.04693784379397	6.88228165124796	7.07770172156748	9.21924826457281	9.38161420700133
ENST00000447535	-3.47543916419416	11.772389956303	-16.318203938482	1.31661792519614e-06	0.000380621530007277	6.25892522087432	12.9029347558585	12.5293943629492	12.9993859833229	13.2917636086736	9.42087172458669	9.48998930242711
CHRM1	3.4640342785106	8.16668108231977	16.3003775439547	1.32600340750817e-06	0.000380621530007277	6.25213885384918	7.14215541276564	7.33433958878711	6.78444596211519	6.78707099426367	10.2832751983031	10.6687993376839
SMAP2	2.1947552342815	9.92430184371314	16.2682813404553	1.34309604514945e-06	0.000380621530007277	6.23989615600043	9.11112378544699	9.04690693098011	9.34657289010867	9.26626345594146	11.3576938174603	11.4172501823413
ASGR2	-2.02419130069437	9.35133639667811	-16.2562273423482	1.34958051756549e-06	0.000380621530007277	6.23529034314699	10.0681753200598	9.99666327672888	9.91408328478285	10.1253454394	7.93165240955154	8.07209864954552
HPGD	-3.36467968394264	7.37369984312174	-16.2412176595196	1.35770527457452e-06	0.000380621530007277	6.22954907516918	8.27502345377778	8.39935367672467	8.79096446024258	8.5156973603321	4.87356694159901	5.38759316605427
PRDM16	2.0007093214689	10.2054612185163	16.232657940258	1.36236377895218e-06	0.000380621530007277	6.22627191594937	9.61239979320296	9.58384529811959	9.55033381279518	9.40765354132223	11.5998530313104	11.4786818343474
SLC2A3	-2.82680030259323	10.908201358336	-16.22417468085	1.36699877247295e-06	0.000380621530007277	6.22302185611208	11.7009364902137	11.6041218654854	12.0969684133786	11.9998457343904	9.03605893726928	9.01127670927836
CR627384	-3.16460526888559	7.22206037259724	-16.1989951884597	1.38086297453952e-06	0.000381223501030288	6.21336246273087	8.51435089681071	7.94914353405294	8.29048750590655	8.35373324546624	4.93111307384306	5.29353397950398
HAND1	-3.66910402688043	8.50866711369506	-16.1295914419467	1.41992051746041e-06	0.000384830684017543	6.18663846955826	9.38947903874121	9.63803782239938	9.70100834650646	10.1982819496404	5.98739899363969	6.13779653124318
LOC645722	2.85085325592323	9.84891073955391	16.1208616815178	1.42492241745859e-06	0.000384830684017543	6.18326671583688	8.78095535618931	8.66753894399816	9.01397287581895	9.13203810764491	11.6089341632646	11.8900249904075
ALB	-3.28202378963976	10.3739271889311	-16.1131327681831	1.42936773693473e-06	0.000384830684017543	6.18027958978382	11.5996520134758	11.5077643422821	11.4050307164228	11.3592934030635	7.8465705252127	8.52525213312989
PCDH7	-2.2102829147099	10.0967084617432	-16.0650978380007	1.45735461390507e-06	0.000389149518501519	6.16167383731951	10.8604433239348	10.9026448931748	10.8488931813885	10.7218963347546	8.46985218084553	8.77652085636104
CDK6	-2.59893724123527	12.3079588553704	-16.021894543355	1.48306445447511e-06	0.000392795046613298	6.14487920307357	13.0941299430827	13.0386936175253	13.2356170193523	13.3286444965017	10.3775830553038	10.7730850004567
SLC10A4	-2.05889717265644	8.41224740607514	-15.9934335427921	1.50028558323056e-06	0.000394151640684693	6.13378404600853	9.02152260246663	9.05894335601267	9.14017905536363	9.17354084066623	6.91821261941246	7.16108596252924
C3orf58	-1.95211824420235	10.4363429737918	-15.9198656789315	1.54587301312973e-06	0.000395302513678206	6.10498849541761	10.9826071490116	11.1178267992181	11.1825932655209	11.0651690070196	9.06680011980035	9.20306150218003
PPP1R3C	2.8753276464985	9.94218003553171	15.9090828700385	1.55268737316689e-06	0.000395302513678206	6.10075382240836	8.96665452833227	8.84386750089684	9.116169643138	9.00825827442839	11.5862365977468	12.1318936686479
C1QL4	2.14393429550233	6.78193293852762	15.8909463109969	1.56422691724574e-06	0.000395302513678206	6.09362297714998	6.15674940867592	5.92396194048651	6.03042865987205	6.15801268440624	8.10961100561488	8.31283393211013
AHR	-2.16969299432823	10.5559086846484	-15.8903765769206	1.5645910060433e-06	0.000395302513678206	6.0933988055544	11.2939367806884	11.1702299477133	11.4759299372207	11.1764620654089	9.08352188138519	9.135371495474
